Tile Size,Steps,MSE,Memory Footprint (Bytes),Compression Ratio,BLEU Score,Character F-score
32,1,0.0027923151306670966,412032.0,45.80801491146319,2.1100895134477153,0.1904156190157284
32,2,0.0026264670643361874,824064.0,22.904007455731595,2.228690967541117,0.195315828386632
32,3,0.00248097272318167,1236096.0,15.269338303821062,1.9171816298754405,0.18495919916884443
32,4,0.0023494346086181395,1648128.0,11.452003727865797,2.001552198242431,0.19497413275837994
32,5,0.0022290172460088797,2060160.0,9.161602982292637,1.9778715864487169,0.185564059012505
32,6,0.0021172456555405006,2472192.0,7.634669151910531,1.8946057798294427,0.18489909705601634
32,7,0.002013184582475939,2884224.0,6.5440021302090265,1.478636093147091,0.18192633961138377
32,8,0.0019158417109110815,3296256.0,5.726001863932899,1.4139358545727214,0.18908534810846456
32,9,0.0018240899754952504,3708288.0,5.089779434607021,1.4064289757590516,0.18052884132816246
32,10,0.0017375343557735807,4120320.0,4.580801491146318,1.5729946956473742,0.18939259338743
32,11,0.0016559226674341214,4532352.0,4.1643649919511985,2.0284327096058066,0.18929291754289146
32,12,0.0015784208513878184,4944384.0,3.8173345759552655,2.437775211445118,0.2020781527681628
32,13,0.001504844510956597,5356416.0,3.5236934547279373,2.505274778827746,0.19804061700439832
32,14,0.0014351429339664417,5768448.0,3.2720010651045133,2.6959337524415212,0.19903607750399283
32,15,0.0013687136384608796,6180480.0,3.0538676607642126,2.820117488370448,0.20277421130963333
32,16,0.0013053949896099464,6592512.0,2.8630009319664493,3.0614116624296717,0.21122619556444672
32,17,0.0012454124578766823,7004544.0,2.694589112439011,3.199661478859884,0.20558430964486
32,18,0.0011880811719606754,7416576.0,2.5448897173035103,3.874193821963892,0.2104939547848051
32,19,0.0011335201262454575,7828608.0,2.4109481532349046,3.776331081280061,0.20857341499969917
32,20,0.0010814755347041682,8240640.0,2.290400745573159,3.7511343452949397,0.21307218399665714
32,21,0.0010318510207791103,8652672.0,2.181334043403009,3.491311248736954,0.21067473377536328
32,22,0.0009845162981794904,9064704.0,2.0821824959755992,4.4769111781468425,0.21211090037653815
32,23,0.0009393553543570002,9476736.0,1.9916528222375298,4.950731762082466,0.2172915720281316
32,24,0.0008962092307266781,9888768.0,1.9086672879776327,5.654801672618128,0.21761601504634623
32,25,0.0008549836442739434,10300800.0,1.8323205964585274,7.052616282476625,0.22159412943454707
32,26,0.000815593299610858,10712832.0,1.7618467273639686,6.28328579720403,0.22743241678377832
32,27,0.0007779822757546148,11124864.0,1.696593144869007,9.454808119978834,0.23610226266984924
32,28,0.0007421278732711775,11536896.0,1.6360005325522566,12.360368503750193,0.24092582812731447
32,29,0.0007077851360198414,11948928.0,1.5795867210849375,13.430119240728516,0.24473400690706545
32,30,0.0006748796823785597,12360960.0,1.5269338303821063,15.615685776431365,0.24954419553410806
32,31,0.0006436349018107043,12772992.0,1.4776779003697802,16.12001144945502,0.24832845221437133
32,32,0.0006137382903167085,13185024.0,1.4315004659832247,18.5158899289637,0.25066747965009223
32,33,0.0005852378615619122,13597056.0,1.388121663983733,20.4627977244945,0.25375398710102226
32,34,0.0005579177194287391,14009088.0,1.3472945562195056,20.987969459552627,0.25367830681058556
32,35,0.0005317399226782982,14421120.0,1.3088004260418054,22.268053697159743,0.25460593681232196
32,36,0.0005067923743619455,14833152.0,1.2724448586517552,23.121400439108466,0.25630855164879524
32,37,0.0004830078377437985,15245184.0,1.2380544570665726,24.309088460181393,0.2578356635765343
32,38,0.0004602962404097373,15657216.0,1.2054740766174523,27.157776773533488,0.25975125345999467
32,39,0.00043868796805668353,16069248.0,1.1745644849093124,28.629437558712528,0.2607465354146386
32,40,0.00041804694303474815,16481280.0,1.1452003727865796,29.343866218966763,0.2606943074241738
32,41,0.00039829559920197727,16893312.0,1.117268656377151,30.24687299447842,0.2621431429014689
32,42,0.0003793774576479336,17305344.0,1.0906670217015044,31.88522949780047,0.26305052153438685
32,43,0.0003613289645253796,17717376.0,1.065302672359609,33.083569273884684,0.2627663491798236
32,44,0.0003440834789453599,18129408.0,1.0410912479877996,34.531395870851114,0.2625336416412829
32,45,0.00032761725665864105,18541440.0,1.0179558869214043,36.23623428840402,0.26323323974042523
32,46,0.0003119530298742272,18953472.0,0.9958264111187649,36.04400224794913,0.26350976793581277
32,47,0.00029692889988079213,19365504.0,0.9746386151375146,36.96291148124369,0.2646376935069934
32,48,0.0002826544936785543,19777536.0,0.9543336439888164,38.06569718675047,0.26349603611775396
32,49,0.00026906870305746605,20189568.0,0.9348574471727181,37.92423836315499,0.2642769086888054
32,50,0.000256096277468032,20601600.0,0.9161602982292637,38.29841744799183,0.26376270640944366
64,1,0.0026192393009599377,201312.0,93.75679542203147,2.425640350163196,0.19488858742852014
64,3,0.0024304565692242854,603936.0,31.252265140677157,1.7615081690349248,0.18939282316642256
64,5,0.002275780514082726,1006560.0,18.751359084406296,1.7456639900684963,0.1853667138998208
64,7,0.0021417445420108074,1409184.0,13.393827917433068,1.9697926554834582,0.1900159528117639
64,9,0.0020194292084549184,1811808.0,10.417421713559053,2.0592591160138745,0.1907342963712345
64,11,0.001908831895586142,2214432.0,8.523345038366498,2.385108790561342,0.19009627460308917
64,13,0.001806499531388302,2617056.0,7.212061186310113,1.7996209145631228,0.18906268991214403
64,15,0.001711445577257109,3019680.0,6.250453028135431,1.829309091587766,0.18889169443273945
64,17,0.0016231071541975932,3422304.0,5.515105613060675,1.8316909783774236,0.1944301055367454
64,19,0.0015407800639574514,3824928.0,4.934568180106919,1.617273527139398,0.19174707961318102
64,21,0.001463168948400077,4227552.0,4.464609305811022,1.5795067666765397,0.19134300518190772
64,23,0.0013898796328248864,4630176.0,4.076382409653542,1.4402478362616682,0.1843380577205848
64,25,0.0013209624168363614,5032800.0,3.7502718168812588,1.5602904843382959,0.19411346821206646
64,27,0.0012554773225019744,5435424.0,3.4724739045196844,1.7612148212182395,0.1961867306692283
64,29,0.0011936869886994828,5838048.0,3.2329929455872923,1.794256110354868,0.19111526394344838
64,31,0.0011353372492521885,6240672.0,3.0244127555494025,3.7652718634224542,0.20765004580434407
64,33,0.0010802182556896394,6643296.0,2.8411150127888325,2.573220137578704,0.20163052216842975
64,35,0.0010278888519981895,7045920.0,2.6787655834866135,3.874793087813935,0.206724543745228
64,37,0.0009782724555407185,7448544.0,2.5339674438386885,3.342896276804401,0.20796915605774696
64,39,0.0009312752197274676,7851168.0,2.4040203954367043,5.259071789338842,0.21556161703511023
64,41,0.0008863856617153942,8253792.0,2.286751107854426,3.065850342503352,0.2133310654199531
64,43,0.0008439444038685906,8656416.0,2.1803905912100343,4.967502116513846,0.21390942931292387
64,45,0.0008035545386822681,9059040.0,2.0834843427118104,5.435717614759398,0.2221054012687443
64,47,0.0007650146670433363,9461664.0,1.994825434511308,6.183123219970594,0.2253834793016299
64,49,0.0007283909262696397,9864288.0,1.913403988204724,5.005493920285033,0.22382070090869713
64,51,0.000693592132544533,10266912.0,1.8383685376868917,5.853707356618535,0.22605879817791114
64,53,0.0006605479060605527,10669536.0,1.7689961400383296,7.066692653886627,0.22569667957479914
