Word Length,Fraction Length,Rank,BLEU Score,Compression Ratio
4,3,100,2.47664712143862,27.30666666666667
4,2,100,1.7261832117329856,40.96
4,1,100,2.991749855444523,81.92
5,4,100,3.5999663517897593,20.48
5,3,100,3.5616498931501614,27.30666666666667
5,2,100,2.0170052556786735,40.96
5,1,100,2.216503689597686,81.92
6,5,100,2.771245907570802,16.384
6,4,100,6.722482799950906,20.48
6,3,100,3.3796543813747895,27.30666666666667
6,2,100,2.1883795831832034,40.96
6,1,100,2.1626696565143044,81.92
7,6,100,3.511474194894124,13.653333333333334
7,5,100,8.168287260496646,16.384
7,4,100,15.63004932127456,20.48
7,3,100,6.404243136204343,27.30666666666667
7,2,100,1.9524789278804449,40.96
7,1,100,2.492314924392241,81.92
8,7,100,3.4478995092594595,11.702857142857143
8,6,100,7.135457926770693,13.653333333333334
8,5,100,19.6117465394097,16.384
8,4,100,20.117652038799754,20.48
8,3,100,6.252076998215536,27.30666666666667
8,2,100,2.2167795999291675,40.96
8,1,100,2.4350625165056172,81.92
16,15,100,2.962936850034393,5.461333333333333
16,14,100,8.439408309494643,5.851428571428571
16,13,100,21.300824467048507,6.3015384615384615
16,12,100,25.72005849888782,6.826666666666667
16,11,100,26.57666557711544,7.447272727272727
16,10,100,25.59417685969502,8.192
16,9,100,25.913473539005793,9.102222222222222
16,8,100,26.18906560007513,10.24
32,31,100,2.962936850034393,2.6425806451612903
32,30,100,8.439408309494643,2.7306666666666666
32,29,100,21.300824467048507,2.8248275862068963
32,28,100,25.728284966964537,2.9257142857142857
32,27,100,26.308984604865653,3.034074074074074
32,26,100,25.810070762972593,3.1507692307692308
32,25,100,25.901975251220282,3.2768
32,24,100,25.901975251220282,3.4133333333333336
4,3,150,1.7298110851701904,18.204444444444444
4,2,150,1.4403449806291146,27.30666666666667
4,1,150,2.991749855444523,54.61333333333334
5,4,150,3.334857994566278,13.653333333333334
5,3,150,2.1128034065380055,18.204444444444444
5,2,150,1.8861810618430699,27.30666666666667
5,1,150,2.216503689597686,54.61333333333334
6,5,150,2.8106723268150273,10.922666666666666
6,4,150,11.26179582861601,13.653333333333334
6,3,150,2.263015716110813,18.204444444444444
6,2,150,1.794086074997894,27.30666666666667
6,1,150,2.1626696565143044,54.61333333333334
7,6,150,2.9934202001021895,9.102222222222222
7,5,150,9.534519211625316,10.922666666666666
