param_ratio,layer1,layer2,layer3,layer4,layer5,layer6
12.5,7.1497946830417005,3.61041558214946,3.246006615497581,5.8199136833018725,11.196325873832789,9.986835626211345
25.0,3.8340260570933733,1.975069305990648,2.015499837203634,3.3197403760685185,5.288653269643404,6.325226236887223
37.5,2.1943838881553868,1.181250115512507,1.3497877737422348,2.060190887672323,2.628321789254532,4.020493067697056
50.0,1.3819235143387405,0.8461842041134076,0.9968590896659246,1.3052055787268246,1.49997343841997,2.6247876452672605
62.5,0.9184594703466806,0.6508095508266275,0.7679416278891176,0.9310575413512724,0.9579268429724631,1.8410896013354012
75.0,0.70750470464006,0.5703430537285538,0.6771031512108787,0.6895587539047546,0.7359499175078072,1.286157175289402
