Word Length,Fraction Length,Rank,BLEU (Quant SVD),BLEU (Iterative Quant SVD),Delta BLEU (Quant - Iterative Quant SVD),Compression Ratio
4,2,250,0.9464671931807205,40.67665711302103,-39.730189919840306,8.192
4,2,300,0.961162835683025,40.992746513714195,-40.03158367803117,6.826666666666667
4,2,350,0.961162835683025,40.511797961046184,-39.55063512536316,5.851428571428571
4,2,400,0.961162835683025,40.95943953188109,-39.99827669619806,5.12
4,2,450,0.961162835683025,39.65555611179065,-38.694393276107625,4.551111111111111
6,3,170,10.82210208191217,36.980586896529715,-26.158484814617545,8.031372549019608
6,3,210,15.55971184085674,39.383996306007724,-23.82428446515098,6.501587301587302
6,3,250,15.94856687324022,41.10226446651693,-25.15369759327671,5.461333333333333
6,3,290,17.69083320741574,39.51752562254903,-21.82669241513329,4.708045977011494
6,3,330,16.28775421636732,39.39197273723146,-23.104218520864144,4.137373737373737
8,4,125,26.09766176110163,31.342612375431028,-5.244950614329397,8.192
8,4,155,31.554794008850333,35.5814967845664,-4.026702775716064,6.606451612903226
8,4,185,34.866382056808476,38.78746717494223,-3.921085118133753,5.535135135135135
8,4,215,35.72377236718649,39.413929383618175,-3.6901570164316837,4.7627906976744185
8,4,245,36.73675869006237,40.989246272819315,-4.252487582756942,4.179591836734694
16,8,65,16.913609430537306,17.354201353842804,-0.44059192330549735,7.876923076923077
16,8,80,22.92370492851725,22.57463898019935,0.34906594831790017,6.4
16,8,95,24.803325796057127,24.723867764325234,0.07945803173189248,5.389473684210526
16,8,110,27.950226722778286,28.410244220214366,-0.46001749743608045,4.654545454545454
16,8,125,31.176498256391767,31.206737911628668,-0.030239655236901086,4.096
