Layer,Tile Size,Steps,MSE,Memory Footprint (Bytes),Compression Ratio,BLEU Score,Character F-score
5,64,5,0.0024614721381415925,1207872.0,125.00906056270863,2.2474543821463597,0
5,64,11,0.0021034993114881217,2415744.0,62.50453028135431,1.868999689073883,0
5,64,17,0.0018168401438742876,3623616.0,41.66968685423621,2.3439625585276103,0
5,64,23,0.0015782471552180748,4831488.0,31.252265140677157,1.6598248440539909,0
5,64,29,0.001373824857485791,6039360.0,25.001812112541725,2.1298668582014515,0
5,64,35,0.0011978634671928983,7247232.0,20.834843427118106,2.2296600625593266,0
5,64,41,0.0010452711721882224,8455104.0,17.85843722324409,4.706694202524375,0
5,64,47,0.0009126278552381942,9662976.0,15.626132570338578,4.739117479416242,0
5,64,53,0.0007966179400682449,10870848.0,13.889895618078738,6.545662071679319,0
5,64,59,0.0006951941953351101,12078720.0,12.500906056270862,12.223879344608468,0
5,64,65,0.0006063693047811588,13286592.0,11.36446005115533,18.385360116471645,0
5,64,71,0.0005284599465085194,14494464.0,10.417421713559053,23.423291778453965,0
5,64,77,0.00046014139176501584,15702336.0,9.616081581746817,28.658715500542403,0
5,64,83,0.0004002483425817142,16910208.0,8.929218611622044,31.142866538628745,0
5,64,89,0.00034799043108553934,18118080.0,8.333937370847242,35.06978122145342,0
5,64,95,0.0003021888017732029,19325952.0,7.813066285169289,38.70148588152117,0
5,64,101,0.0002621776608672614,20533824.0,7.353474150747567,37.00218723655182,0
5,64,107,0.00022724865508886674,21741696.0,6.944947809039369,38.90312143233367,0
5,64,113,0.0001969243045702266,22949568.0,6.5794242401425596,39.694966748002344,0
5,64,119,0.00017058543744497,24157440.0,6.250453028135431,40.34320904806448,0
