Word Length,Fraction Length,Rank,BLEU Score (Quant SVD),BLEU Score (Iterative Quant SVD),Compression Ratio
6,5,100,24.766105175650953,27.152599959303846,13.653333333333334
6,4,100,23.3565899877442,21.53817186763588,13.653333333333334
6,3,100,6.1214593431927495,9.871344585021887,13.653333333333334
6,2,100,1.754698152416682,1.04586715880535,13.653333333333334
6,1,100,1.0188222382597951,1.2336951384096813,13.653333333333334
8,7,100,26.77024696256912,25.76206504479355,10.24
8,6,100,25.753692271024985,25.855951013020206,10.24
8,5,100,25.527208331746266,26.801016300653536,10.24
8,4,100,23.3565899877442,21.53817186763588,10.24
8,3,100,6.1214593431927495,9.871344585021887,10.24
8,2,100,1.754698152416682,1.04586715880535,10.24
16,15,100,25.6549060842784,25.703662677714174,5.12
16,14,100,25.901975251220282,25.901975251220282,5.12
16,13,100,25.901975251220282,25.81798060843987,5.12
16,12,100,25.901975251220282,25.87053849047813,5.12
16,11,100,25.863412168317346,25.902220032000695,5.12
16,10,100,25.67251586017546,25.73367657730946,5.12
6,5,125,30.03969379375829,31.21863032167593,10.922666666666666
6,4,125,27.367966876609344,26.60887195670635,10.922666666666666
6,3,125,2.8966372313720834,7.889058324851909,10.922666666666666
6,2,125,1.7347333673635223,1.1060447302351009,10.922666666666666
6,1,125,1.0188222382597951,1.2336951384096813,10.922666666666666
8,7,125,32.15332707302326,30.956494755392395,8.192
8,6,125,31.459668551050658,31.483028829072424,8.192
8,5,125,29.94624034737294,31.073596047070577,8.192
8,4,125,27.367966876609344,26.60887195670635,8.192
8,3,125,2.8966372313720834,7.889058324851909,8.192
8,2,125,1.7347333673635223,1.1060447302351009,8.192
16,15,125,31.398693340665247,31.206737911628668,4.096
16,14,125,31.206737911628668,31.206737911628668,4.096
16,13,125,31.206737911628668,31.206737911628668,4.096
16,12,125,31.206737911628668,31.206737911628668,4.096
16,11,125,31.182656967984485,31.206737911628668,4.096
16,10,125,31.20308945113414,31.05781420140179,4.096
6,5,150,34.09722999892178,34.18425269926397,9.102222222222222
6,4,150,30.929174886233003,31.39902573920097,9.102222222222222
6,3,150,3.482513781581112,8.126768349033627,9.102222222222222
6,2,150,1.9911673723573313,1.037501699900201,9.102222222222222
6,1,150,1.0188222382597951,1.2336951384096813,9.102222222222222
8,7,150,34.84336814241557,34.52313026660023,6.826666666666667
8,6,150,35.097893056837584,34.70052014273827,6.826666666666667
8,5,150,34.03496770238261,34.10704853381574,6.826666666666667
8,4,150,30.929174886233003,31.39902573920097,6.826666666666667
8,3,150,3.482513781581112,8.126768349033627,6.826666666666667
8,2,150,1.9911673723573313,1.037501699900201,6.826666666666667
16,15,150,34.43202884173924,34.70580956997756,3.4133333333333336
16,14,150,34.76324952626128,34.76324952626128,3.4133333333333336
16,13,150,34.945830073916234,34.945830073916234,3.4133333333333336
16,12,150,34.945830073916234,34.82664343418097,3.4133333333333336
16,11,150,34.80211654668183,34.70846420110556,3.4133333333333336
16,10,150,34.76324952626128,34.81486548060931,3.4133333333333336
6,5,175,36.014154740648465,37.96146168984733,7.801904761904762
6,4,175,32.1820736205212,32.61564948569217,7.801904761904762
6,3,175,5.122866116036196,11.662920792193622,7.801904761904762
6,2,175,2.084872846200853,0.9857331127631483,7.801904761904762
6,1,175,1.0188222382597951,1.2336951384096813,7.801904761904762
8,7,175,36.60509003153598,36.85179086607748,5.851428571428571
8,6,175,36.51736910135723,35.588494581263745,5.851428571428571
8,5,175,36.02354554593876,37.97549519109333,5.851428571428571
8,4,175,32.1820736205212,32.61564948569217,5.851428571428571
8,3,175,5.122866116036196,11.662920792193622,5.851428571428571
8,2,175,2.084872846200853,0.9857331127631483,5.851428571428571
16,15,175,37.85845587452729,37.477738783368835,2.9257142857142857
16,14,175,37.64274589526608,37.64274589526608,2.9257142857142857
16,13,175,37.64274589526608,37.599019666500396,2.9257142857142857
16,12,175,37.64274589526608,37.477738783368835,2.9257142857142857
16,11,175,37.64274589526608,37.46388922350748,2.9257142857142857
16,10,175,37.67852879490223,37.507471744667455,2.9257142857142857
6,5,200,37.6569540961247,38.035991474715296,6.826666666666667
6,4,200,35.77660843547291,34.726914982996334,6.826666666666667
6,3,200,4.496009345301437,13.368611908544622,6.826666666666667
6,2,200,1.9933623618938325,0.9655271764306991,6.826666666666667
6,1,200,1.0188222382597951,1.2336951384096813,6.826666666666667
8,7,200,40.07076115229823,38.63014488670377,5.12
8,6,200,40.09484316281961,39.38624280552014,5.12
8,5,200,37.767976740920396,38.18943460421298,5.12
8,4,200,35.77660843547291,34.726914982996334,5.12
8,3,200,4.496009345301437,13.368611908544622,5.12
8,2,200,1.9933623618938325,0.9655271764306991,5.12
16,15,200,39.12430837382995,39.16960048052053,2.56
16,14,200,39.13418763441858,39.15180042915414,2.56
16,13,200,39.16960048052053,39.16960048052053,2.56
16,12,200,39.17442118772828,39.13418763441858,2.56
16,11,200,39.172109805656234,39.19196110836989,2.56
16,10,200,38.928596256204074,38.729524342651985,2.56
6,5,225,38.265594997881976,39.20634900079266,6.068148148148148
6,4,225,35.74154955082091,36.465351750400146,6.068148148148148
6,3,225,4.5698790527780835,17.024694212391765,6.068148148148148
6,2,225,1.870038410602524,0.9019542621208406,6.068148148148148
6,1,225,1.0188222382597951,1.2336951384096813,6.068148148148148
8,7,225,40.018774475833084,39.30322002628324,4.551111111111111
8,6,225,40.76397633083858,40.062595472535136,4.551111111111111
