Method,Layer,Tile Size,Steps,MSE,Memory Footprint (Bytes),Compression Ratio,BLEU Score,Character F-score
Stack,0,64,1,0.0031126481480896473,65824.0,47.78998541565387,39.90149701935009,0
Stack,0,64,3,0.002851342549547553,197472.0,15.929995138551288,40.01766883324613,0
Stack,0,64,5,0.0026167542673647404,329120.0,9.557997083130774,40.64949891690121,0
Stack,0,64,7,0.002402079524472356,460768.0,6.827140773664838,40.58308725648503,0
Stack,0,64,9,0.00220412015914917,592416.0,5.309998379517096,40.99804980265229,0
Stack,0,64,11,0.002020901767536998,724064.0,4.344544128695806,41.329566513037335,0
Stack,0,64,13,0.0018501406302675605,855712.0,3.6761527242810663,40.944599825713254,0
Stack,0,64,15,0.0016908408142626286,987360.0,3.1859990277102574,40.264289701401104,0
Stack,0,64,17,0.0015427455073222518,1119008.0,2.8111756126855214,40.51490134659056,0
Stack,0,64,19,0.0014045850839465857,1250656.0,2.515262390297572,41.344768283287394,0
Stack,1,64,1,0.0023190740030258894,65824.0,47.78998541565387,33.8889812537385,0
Stack,1,64,3,0.00205790251493454,197472.0,15.929995138551288,35.18718218578539,0
Stack,1,64,5,0.0018513951217755675,329120.0,9.557997083130774,34.27855075137833,0
Stack,1,64,7,0.001672330661676824,460768.0,6.827140773664838,35.218642096943334,0
Stack,1,64,9,0.0015132005792111158,592416.0,5.309998379517096,36.08489997101384,0
Stack,1,64,11,0.0013703587464988232,724064.0,4.344544128695806,36.221421216888324,0
Stack,1,64,13,0.0012439637212082744,855712.0,3.6761527242810663,37.00855403054671,0
Stack,1,64,15,0.0011319097829982638,987360.0,3.1859990277102574,37.71581442658699,0
Stack,1,64,17,0.0010317954001948237,1119008.0,2.8111756126855214,37.4861589066557,0
Stack,1,64,19,0.0009394600056111813,1250656.0,2.515262390297572,37.38600620573682,0
Stack,2,64,1,0.0025135958567261696,65824.0,47.78998541565387,38.38751114411437,0
Stack,2,64,3,0.0022931089624762535,197472.0,15.929995138551288,37.46724373271682,0
Stack,2,64,5,0.002098898869007826,329120.0,9.557997083130774,38.41997183117261,0
Stack,2,64,7,0.0019243558635935187,460768.0,6.827140773664838,37.68347491021425,0
Stack,2,64,9,0.0017652608221396804,592416.0,5.309998379517096,37.99390397204419,0
Stack,2,64,11,0.00162009138148278,724064.0,4.344544128695806,39.925134108194115,0
Stack,2,64,13,0.0014870676677674055,855712.0,3.6761527242810663,37.864148281733584,0
Stack,2,64,15,0.0013638067757710814,987360.0,3.1859990277102574,38.60350666104414,0
Stack,2,64,17,0.0012485620100051165,1119008.0,2.8111756126855214,39.824725035500784,0
Stack,2,64,19,0.0011412951862439513,1250656.0,2.515262390297572,40.01053660840735,0
Stack,3,64,1,0.00296740117482841,65824.0,47.78998541565387,39.05069534662375,0
Stack,3,64,3,0.0026662093587219715,197472.0,15.929995138551288,39.659100285408655,0
Stack,3,64,5,0.002419151831418276,329120.0,9.557997083130774,38.64347650483819,0
Stack,3,64,7,0.0022086305543780327,460768.0,6.827140773664838,38.47423080003585,0
Stack,3,64,9,0.0020223099272698164,592416.0,5.309998379517096,39.24254174904963,0
Stack,3,64,11,0.001853179419413209,724064.0,4.344544128695806,39.69178847847308,0
Stack,3,64,13,0.0016978718340396881,855712.0,3.6761527242810663,40.347489012665605,0
Stack,3,64,15,0.0015538651496171951,987360.0,3.1859990277102574,39.10792933459961,0
Stack,3,64,17,0.00142013025470078,1119008.0,2.8111756126855214,39.173324330185,0
Stack,3,64,19,0.0012957379221916199,1250656.0,2.515262390297572,39.93879667247392,0
Stack,4,64,1,0.002995070768520236,65824.0,47.78998541565387,35.08549793098622,0
Stack,4,64,3,0.0027352962642908096,197472.0,15.929995138551288,35.834740561540336,0
Stack,4,64,5,0.002505964133888483,329120.0,9.557997083130774,35.55077005327658,0
Stack,4,64,7,0.0022981525398790836,460768.0,6.827140773664838,36.76010904546123,0
Stack,4,64,9,0.0021081166341900826,592416.0,5.309998379517096,36.40900961083114,0
Stack,4,64,11,0.0019330775830894709,724064.0,4.344544128695806,36.47634490004952,0
Stack,4,64,13,0.001770364004187286,855712.0,3.6761527242810663,37.42149777556176,0
Stack,4,64,15,0.0016192290931940079,987360.0,3.1859990277102574,38.571823280629566,0
Stack,4,64,17,0.0014789355918765068,1119008.0,2.8111756126855214,38.57985656717997,0
Stack,4,64,19,0.0013485567178577185,1250656.0,2.515262390297572,39.66855493276027,0
Stack,5,64,1,0.0030969749204814434,65824.0,47.78998541565387,34.62476586894519,0
Stack,5,64,3,0.002785351825878024,197472.0,15.929995138551288,35.288583514920155,0
Stack,5,64,5,0.0025334700476378202,329120.0,9.557997083130774,35.542943207766186,0
Stack,5,64,7,0.002311491407454014,460768.0,6.827140773664838,33.35309194870048,0
Stack,5,64,9,0.0021107892971485853,592416.0,5.309998379517096,35.421790161342145,0
Stack,5,64,11,0.0019275237573310733,724064.0,4.344544128695806,35.05992759718794,0
Stack,5,64,13,0.001758958213031292,855712.0,3.6761527242810663,35.18766868158084,0
Stack,5,64,15,0.0016034161671996117,987360.0,3.1859990277102574,35.69998455690745,0
Stack,5,64,17,0.0014596607070416212,1119008.0,2.8111756126855214,36.818624491741915,0
Stack,5,64,19,0.0013263564324006438,1250656.0,2.515262390297572,37.98174223628839,0
