Word Length,Fraction Length,Rank,BLEU Score,Compression Ratio
6,1,300,3.2695271881922117,4.551111111111111
7,6,300,11.167616024884719,3.900952380952381
7,5,300,6.161072021705788e-154,3.900952380952381
7,4,300,5.7776419918178836e-154,3.900952380952381
7,3,300,1.5666128195523848e-154,3.900952380952381
7,2,300,8.472717517611122e-154,3.900952380952381
7,1,300,3.2695271881922117,3.900952380952381
8,7,300,13.577013058719222,3.4133333333333336
8,6,300,18.641999437793785,3.4133333333333336
8,5,300,3.8181067388071224e-154,3.4133333333333336
8,4,300,4.969508188913292e-154,3.4133333333333336
8,3,300,2.6060762903249257e-154,3.4133333333333336
8,2,300,8.922787502324222e-154,3.4133333333333336
16,15,300,14.481471935401602,1.7066666666666668
16,14,300,37.236402887614766,1.7066666666666668
16,13,300,39.55248984221137,1.7066666666666668
16,12,300,38.297353989419044,1.7066666666666668
16,11,300,39.31299420768627,1.7066666666666668
16,10,300,39.796116569965804,1.7066666666666668
32,31,300,14.438731336095156,0.8533333333333334
32,30,300,37.52176079396989,0.8533333333333334
32,29,300,39.578039051776365,0.8533333333333334
32,28,300,38.83336070132804,0.8533333333333334
32,27,300,39.10310016599321,0.8533333333333334
32,26,300,39.24759713040375,0.8533333333333334
