Word Length,Rank,Quant SVD BLEU (Range-Based),Iterative Quant SVD BLEU (Range-Based),Compression Ratio
2,64,0.7845096319226302,0.6557051829253829,64.0
2,80,1.19766995139025,0.7089189903104846,51.2
2,96,1.1189139024611685,0.6345010555247357,42.666666666666664
2,112,1.1204615923094299,0.6477888409161985,36.57142857142857
2,128,1.0202615314654648,0.6278279169023919,32.0
2,144,0.9596660084294961,0.6278279169023919,28.444444444444443
2,160,1.0434351681294953,0.6278279169023919,25.6
2,176,0.9815232740724843,0.6278279169023919,23.272727272727273
2,192,0.9419507465090386,0.6278279169023919,21.333333333333332
2,208,0.9634631291503153,0.6278279169023919,19.692307692307693
2,224,0.7473289548994198,0.6278279169023919,18.285714285714285
2,240,0.8489550103923117,0.6278279169023919,17.066666666666666
2,256,0.7800375490720226,0.6278279169023919,16.0
2,272,0.7819920207368319,0.6278279169023919,15.058823529411764
2,288,0.7402357754026625,0.6278279169023919,14.222222222222221
2,304,0.6622119099442172,0.6278279169023919,13.473684210526315
2,320,0.6763526828518303,0.6278279169023919,12.8
2,336,0.6414749219056592,0.6278279169023919,12.19047619047619
2,352,0.6316846795011982,0.6278279169023919,11.636363636363637
2,368,0.625716365329809,0.6278279169023919,11.130434782608695
2,384,0.6480418188106493,0.6278279169023919,10.666666666666666
2,400,0.7850653351811497,0.6278279169023919,10.24
2,416,0.7174875932305675,0.6278279169023919,9.846153846153847
2,432,0.8002002645150625,0.6278279169023919,9.481481481481481
2,448,0.6639150831599389,0.6278279169023919,9.142857142857142
2,464,0.6455729499164508,0.6278279169023919,8.827586206896552
2,480,0.578663873265128,0.6278279169023919,8.533333333333333
2,496,0.7441051631908819,0.6278279169023919,8.258064516129032
2,512,0.7054000511566799,0.6278279169023919,8.0
3,64,16.684771097053478,16.01312343690996,42.666666666666664
3,80,19.87806222335098,18.789425862242233,34.13333333333333
3,96,21.435905714866795,20.93840187814908,28.444444444444443
3,112,22.513015898051762,22.31423248645552,24.38095238095238
3,128,24.58125283486202,23.583405079977517,21.333333333333332
3,144,24.959730512331426,25.054971579025988,18.962962962962962
3,160,24.96272398173098,25.67671590851255,17.066666666666666
3,176,27.078052645530164,26.80903935114911,15.515151515151516
3,192,28.12033723395167,27.581242687700392,14.222222222222221
3,208,28.819984780477686,28.287237587276202,13.128205128205128
3,224,28.477813766010655,29.107759914448373,12.19047619047619
3,240,28.62685682831148,29.178465747721567,11.377777777777778
3,256,29.501011359928984,29.021240041734348,10.666666666666666
3,272,29.430152887031124,29.959456628130287,10.03921568627451
3,288,29.41174455125088,29.580755731050147,9.481481481481481
3,304,29.56683893940875,29.638898370113875,8.982456140350877
3,320,29.68262785460215,31.109358957754342,8.533333333333333
3,336,29.4309027491754,30.621681469513735,8.126984126984127
3,352,29.771945824502268,30.983919624813222,7.757575757575758
3,368,30.005720631434222,31.21946142050148,7.420289855072464
3,384,29.950386476618796,31.699279789327218,7.111111111111111
3,400,29.481649728561045,31.632923558795646,6.826666666666667
