NZr,NZc,Tr,Tc,MSE,Nsteps,Compressed Memory Footprint (byte),Nops,Ncycles,CTC (Ops/byte),CP (GOps/s),AttPerf (GOps/s),Execution Time (s)
1,88,64,2,0.0029513748789954464,27,26682.75,51948,2376,1.8243531549881913,4.372727272727273,4.372727272727273,1.188e-05
1,96,64,2,0.00295010804337747,27,28410.75,55404,2592,1.834402496461415,4.275,4.275,1.2959999999999998e-05
1,12,64,8,0.0029851306160853792,52,34281.0,66768,624,1.8509134255537383,21.4,18.509134255537383,3.6072999999999998e-06
1,14,64,8,0.0029909018140224495,44,31823.0,62128,616,1.8482225197084634,20.17142857142857,18.482225197084635,3.3615e-06
1,16,64,8,0.002997798193786312,39,30702.75,60060,624,1.8482985713076727,19.25,18.482985713076726,3.2494750000000003e-06
1,18,64,8,0.002976467719810901,35,29793.75,58380,630,1.848301844977561,18.533333333333335,18.48301844977561,3.158575e-06
1,20,64,8,0.002975040194453559,31,28372.75,55676,620,1.8457305298402937,17.96,17.96,3.1e-06
1,22,64,8,0.0029462801469353505,29,28398.25,55796,638,1.848146338635818,17.490909090909092,17.490909090909092,3.19e-06
1,24,64,8,0.00295010804337747,27,28167.75,55404,648,1.8492811188344362,17.1,17.1,3.2399999999999995e-06
1,6,64,16,0.002999157365436627,55,36176.25,70620,330,1.859975110783352,42.8,18.59975110783352,3.796825e-06
1,7,64,16,0.002980321047524268,48,34644.0,67776,336,1.8601383247337797,40.34285714285714,18.601383247337797,3.6436000000000006e-06
1,8,64,16,0.002979969373980113,42,33001.5,64680,336,1.8589679106729706,38.5,18.589679106729704,3.4793500000000004e-06
1,9,64,16,0.0029699152367929733,38,32290.5,63384,342,1.8597227316071299,37.06666666666667,18.597227316071297,3.40825e-06
1,10,64,16,0.0029926421463767183,33,30153.75,59268,330,1.8552702628675175,35.92,18.552702628675174,3.1945750000000002e-06
1,11,64,16,0.002994783144933715,29,28354.75,55796,319,1.850813105890353,34.981818181818184,18.50813105890353,3.014675e-06
1,12,64,16,0.00295010804337747,27,28127.25,55404,324,1.851784386306475,34.2,18.517843863064748,2.991925e-06
1,3,64,32,0.0029971695503711285,59,38763.0,75756,177,1.867981753174701,85.6,18.67981753174701,4.0555e-06
1,4,64,32,0.0029663314406478195,43,33755.0,66220,172,1.8628857568852506,77.0,18.628857568852506,3.5546999999999996e-06
1,5,64,32,0.0029814257074151766,34,31042.0,61064,170,1.859779496863008,71.84,18.59779496863008,3.2833999999999998e-06
1,6,64,32,0.00295010804337747,27,28107.0,55404,162,1.8530385631626476,68.4,18.530385631626476,2.9899e-06
1,2,64,64,0.0029680599650821504,43,33738.875,66220,86,1.8637311915341235,154.0,18.637311915341236,3.5530874999999995e-06
1,3,64,64,0.00295010804337747,27,28096.875,55404,81,1.853666288878387,136.8,18.53666288878387,2.9888875000000003e-06
1,1,64,192,0.00295010804337747,27,28090.125,55404,27,1.8540850090145864,410.4,18.540850090145863,2.9882125e-06
2,48,64,2,0.0029804564989909742,17,15712.25,30532,816,1.7442621077738263,7.483333333333333,7.483333333333333,4.08e-06
2,56,64,2,0.002973857010132486,15,14823.75,28860,840,1.7369062485894406,6.871428571428571,6.871428571428571,4.2e-06
2,64,64,2,0.0029424062660098277,14,14731.5,28728,896,1.7386147002753654,6.4125,6.4125,4.48e-06
2,72,64,2,0.0029557970196076705,13,14511.25,28340,936,1.7383037124499716,6.055555555555555,6.055555555555555,4.68e-06
2,80,64,2,0.002888656316852884,13,15343.25,30004,1040,1.7510103441735603,5.77,5.77,5.2e-06
2,88,64,2,0.0029798296411972544,12,14931.0,29232,1056,1.7480117203850984,5.536363636363637,5.536363636363637,5.279999999999999e-06
2,96,64,2,0.0029686449686936616,12,15699.0,30768,1152,1.7590760962780858,5.341666666666666,5.341666666666666,5.760000000000001e-06
2,12,64,8,0.0029449445902323197,24,21966.0,43104,288,1.814294132502736,29.933333333333334,18.14294132502736,2.3758e-06
2,14,64,8,0.002935489329654725,21,20564.25,40404,294,1.807279843444227,27.485714285714284,18.07279843444227,2.235625e-06
2,16,64,8,0.0029529554311382347,18,18778.5,36936,288,1.795581050533531,25.65,17.95581050533531,2.0570499999999996e-06
2,18,64,8,0.002949295621143865,16,17716.0,34880,288,1.7879844166495797,24.22222222222222,17.879844166495797,1.9508e-06
2,20,64,8,0.0029758559816942276,14,16397.5,32312,280,1.7764094670001924,23.08,17.764094670001924,1.81895e-06
