NZr,NZc,Tr,Tc,MSE,Nsteps,Compressed Memory Footprint (byte),Nops,Ncycles,CTC (Ops/byte),CP (GOps/s),AttPerf (GOps/s),Execution Time (s),DSP Usage,Simulated Ncycles,Simulated Execution Time (s)
4,8,16,16,0.0029966528685341745,38,58729.0,29184,608,0.48221278564465225,9.6,4.822127856446523,6.0521e-06,160,0,0.0
4,9,16,16,0.0029647969459628792,33,53113.5,26400,528,0.4808261467430403,10.0,4.808261467430403,5.49055e-06,160,0,0.0
4,10,16,16,0.002997590594916071,29,48531.5,24128,464,0.4794579073395133,10.4,4.794579073395133,5.03235e-06,160,0,0.0
4,11,16,16,0.0029970969408999373,26,45175.0,22464,416,0.47829326974258524,10.8,4.782932697425853,4.6966999999999994e-06,160,0,0.0
4,12,16,16,0.0029516646218912808,24,43236.0,21504,384,0.4775695123034556,11.2,4.775695123034557,4.5027999999999995e-06,160,0,0.0
5,48,16,2,0.0029570678648989292,27,45468.0,22464,1296,0.47532797291578505,3.4666666666666663,3.4666666666666663,6.480000000000001e-06,90,1363,6.815e-06
5,56,16,2,0.0029512370034666213,24,41952.0,20736,1344,0.4740307242136064,3.085714285714286,3.085714285714286,6.72e-06,90,1408,7.04e-06
5,64,16,2,0.0029739754771906136,21,38052.0,18816,1344,0.47224174279690795,2.8,2.8,6.72e-06,90,1405,7.025e-06
5,72,16,2,0.0029966486894341536,19,35644.0,17632,1368,0.4709904904370125,2.577777777777778,2.577777777777778,6.84e-06,90,1427,7.135e-06
5,80,16,2,0.0029299190944892107,19,36860.0,18240,1520,0.47190313567215153,2.4,2.4,7.6e-06,90,1579,7.895e-06
5,88,16,2,0.002971119470692165,18,36072.0,17856,1584,0.47158250581026834,2.2545454545454544,2.2545454545454544,7.92e-06,90,1642,8.21e-06
5,96,16,2,0.00295885044946032,18,37224.0,18432,1728,0.4724215706376871,2.133333333333333,2.133333333333333,8.640000000000002e-06,90,1786,8.93e-06
5,12,16,8,0.0029693493161143205,36,60300.0,29952,720,0.4823809830573987,8.32,4.823809830573987,6.2092e-06,120,0,0.0
5,14,16,8,0.00297630414282399,31,53909.0,26784,620,0.4808531265147843,8.64,4.808531265147843,5.5701e-06,120,0,0.0
5,16,16,8,0.0029911113083961375,27,48681.0,24192,540,0.47930576744001746,8.96,4.793057674400175,5.047299999999999e-06,120,0,0.0
5,18,16,8,0.0029965080330239253,24,44808.0,22272,480,0.4779399141630901,9.28,4.779399141630901,4.66e-06,120,0,0.0
5,20,16,8,0.0029521215384530814,22,42482.0,21120,440,0.4770294077788318,9.6,4.770294077788318,4.4274e-06,120,0,0.0
5,22,16,8,0.0029855412889380106,19,37905.0,18848,418,0.47479658412474496,9.018181818181818,4.747965841247449,3.9697e-06,120,0,0.0
5,24,16,8,0.00295885044946032,18,37062.0,18432,432,0.4743913110619241,8.533333333333331,4.743913110619241,3.8854e-06,120,0,0.0
5,6,16,16,0.0029906462339445617,39,65266.5,32448,780,0.4838760187000902,8.32,4.8387601870009025,6.7058499999999995e-06,160,0,0.0
5,7,16,16,0.002964724060046926,34,59075.0,29376,680,0.4826260535265415,8.64,4.826260535265415,6.0867e-06,160,0,0.0
5,8,16,16,0.0029531553473920043,30,54045.0,26880,600,0.48140122141232516,8.96,4.8140122141232515,5.5837e-06,160,0,0.0
5,9,16,16,0.002974405545591462,26,48503.0,24128,520,0.47972959538721544,9.28,4.797295953872155,5.0295e-06,160,0,0.0
5,10,16,16,0.002972265595811338,23,44378.5,22080,460,0.4782274395988781,9.6,4.782274395988781,4.61705e-06,160,0,0.0
5,11,16,16,0.002978672310043043,20,39870.0,19840,400,0.4762133358936201,9.92,4.762133358936201,4.1662e-06,160,0,0.0
5,12,16,16,0.00295885044946032,18,37035.0,18432,360,0.47472119916552913,10.24,4.747211991655291,3.8827e-06,160,0,0.0
6,48,16,2,0.002961968913430594,21,40740.0,20160,1008,0.4739960500329164,4.0,4.0,5.04e-06,90,1070,5.35e-06
6,56,16,2,0.0029887953641582993,18,36072.0,17856,1008,0.47158250581026834,3.542857142857143,3.542857142857143,5.04e-06,90,1067,5.335e-06
6,64,16,2,0.0029379287960469257,17,35156.0,17408,1088,0.4711486413337664,3.2,3.2,5.44e-06,90,1146,5.73e-06
6,72,16,2,0.002922762336674347,16,34112.0,16896,1152,0.47058823529411764,2.933333333333333,2.933333333333333,5.76e-06,90,1209,6.045e-06
6,80,16,2,0.002947679540706452,15,32940.0,16320,1200,0.46988368075549924,2.72,2.72,6e-06,90,1256,6.28e-06
6,88,16,2,0.0029119526490685318,15,33900.0,16800,1320,0.47069371287683515,2.5454545454545454,2.5454545454545454,6.6e-06,90,1376,6.88e-06
6,96,16,2,0.0029003567957271944,15,34860.0,17280,1440,0.47146131179744627,2.4,2.4,7.2e-06,90,1496,7.48e-06
6,12,16,8,0.0029818574742069147,28,54068.0,26880,672,0.48120300751879697,8.0,4.81203007518797,5.586e-06,120,0,0.0
6,14,16,8,0.002944453305397455,25,49875.0,24800,600,0.47999690324578553,8.266666666666667,4.799969032457855,5.1667e-06,120,0,0.0
6,16,16,8,0.0029947069248824503,21,43239.0,21504,504,0.4775376962536919,8.533333333333331,4.775376962536919,4.503099999999999e-06,120,0,0.0
6,18,16,8,0.0029859883328817102,19,40337.0,20064,456,0.4762515132094282,8.8,4.762515132094282,4.2129e-06,120,0,0.0
6,20,16,8,0.002962017197312275,17,37179.0,18496,408,0.474609324882605,9.066666666666668,4.74609324882605,3.8971e-06,120,0,0.0
6,22,16,8,0.0029134849686194993,16,36016.0,17920,384,0.4739737621667372,9.333333333333332,4.739737621667372,3.7808000000000003e-06,120,0,0.0
6,24,16,8,0.0029003567957271944,15,34725.0,17280,360,0.47320426102910973,9.6,4.7320426102910975,3.6516999999999997e-06,120,0,0.0
6,6,16,16,0.0029636918748448906,31,59814.5,29760,744,0.48306591025297657,8.0,4.830659102529766,6.16065e-06,160,0,0.0
6,7,16,16,0.002963604315754056,27,53824.5,26784,648,0.48158370267816203,8.266666666666667,4.815837026781621,5.5616499999999995e-06,160,0,0.0
6,8,16,16,0.0029737918890162776,23,47322.5,23552,552,0.47953252094595283,8.533333333333331,4.795325209459528,4.91145e-06,160,0,0.0
6,9,16,16,0.0029396988588287526,21,44551.5,22176,504,0.4785137074239106,8.8,4.785137074239106,4.634349999999999e-06,160,0,0.0
6,10,16,16,0.0029827629381931533,18,39339.0,19584,432,0.4761372201016265,9.066666666666668,4.761372201016265,4.1131000000000005e-06,160,0,0.0
6,11,16,16,0.0029634467237293675,16,35992.0,17920,384,0.474274825322888,9.333333333333332,4.74274825322888,3.7783999999999997e-06,160,0,0.0
6,12,16,16,0.0029003567957271944,15,34702.5,17280,360,0.47349600624751675,9.6,4.734960062475167,3.6494500000000003e-06,160,0,0.0
