NZr,NZc,Tr,Tc,MSE,Nsteps,Compressed Memory Footprint (byte),Nops,Ncycles,CTC (Ops/byte),CP (GOps/s),AttPerf (GOps/s),Execution Time (s),DSP Usage,Simulated Execution Time (s),Simulated Ncycles
64,96,2,2,0.0029686449686937228,12,15792.0,30768,1152,1.7497725204731573,5.341666666666666,5.341666666666666,5.760000000000001e-06,66,7.435e-06,1487.0
64,12,2,8,0.0029449445914664836,24,22152.0,43104,1536,1.8002004677581023,5.6125,5.6125,7.68e-06,96,9.165e-06,1833.0
64,14,2,8,0.002935489345529278,21,20727.0,40404,1344,1.79421821572894,6.0125,6.0125,6.72e-06,96,8.2e-06,1640.0
64,16,2,8,0.002952955442155464,18,18918.0,36936,1152,1.7834862385321102,6.4125,6.4125,5.76e-06,96,7.235e-06,1447.0
64,18,2,8,0.0029492956286271263,16,17840.0,34880,1024,1.7766911165444172,6.8125,6.8125,5.12e-06,96,6.595e-06,1319.0
64,20,2,8,0.0029758559890831785,14,16506.0,32312,896,1.765876052027544,7.2125,7.2125,4.48e-06,96,5.955e-06,1191.0
64,22,2,8,0.0029494994901861932,13,16159.0,31668,832,1.764135702746365,7.6125,7.6125,4.16e-06,96,5.64e-06,1128.0
64,24,2,8,0.0029686449686937228,12,15684.0,30768,768,1.760585946440833,8.0125,8.0125,3.8400000000000005e-06,96,5.325e-06,1065.0
64,6,2,16,0.0029852544104216608,25,23037.5,44900,1600,1.8083328298999175,5.6125,5.6125,8e-06,136,9.465e-06,1893.0
64,7,2,16,0.002979499103792784,22,21681.0,42328,1408,1.8032633238188558,6.0125,6.0125,7.04e-06,136,8.495e-06,1699.0
64,8,2,16,0.002975571762756823,19,19940.5,38988,1216,1.7939951685264006,6.4125,6.4125,6.08e-06,136,7.525e-06,1505.0
64,9,2,16,0.0029652977637237396,17,18929.5,37060,1088,1.7884805636657577,6.8125,6.8125,5.44e-06,136,6.88e-06,1376.0
64,10,2,16,0.0029639262143699814,15,17662.5,34620,960,1.7795368680767947,7.2125,7.2125,4.8e-06,136,6.235e-06,1247.0
64,11,2,16,0.0029986752168192645,13,16139.5,31668,832,1.7660541505172462,7.6125,7.6125,4.16e-06,136,5.59e-06,1118.0
64,12,2,16,0.0029686449686937228,12,15666.0,30768,768,1.7624011914308626,8.0125,8.0125,3.8400000000000005e-06,136,5.27e-06,1054.0
16,48,4,2,0.0029708579023591457,29,19488.0,37236,1392,1.749812030075188,5.35,5.35,6.960000000000001e-06,106,7.84e-06,1568.0
16,56,4,2,0.002966083506078235,26,19136.0,36712,1456,1.754204892966361,5.042857142857143,5.042857142857143,7.28e-06,106,8.145e-06,1629.0
16,64,4,2,0.002999346337975929,23,18400.0,35420,1472,1.7541600633914423,4.8125,4.8125,7.36e-06,106,8.21e-06,1642.0
16,72,4,2,0.002990000105187994,22,19008.0,36696,1584,1.7642307692307693,4.633333333333334,4.633333333333334,7.919999999999999e-06,106,8.765e-06,1753.0
16,80,4,2,0.0029858265074947862,21,19488.0,37716,1680,1.7723684210526316,4.49,4.49,8.4e-06,106,9.24e-06,1848.0
16,88,4,2,0.0029306373121448953,21,20832.0,40404,1848,1.7858910891089108,4.372727272727273,4.372727272727273,9.24e-06,106,1.008e-05,2016.0
16,96,4,2,0.0029870071530699845,20,21120.0,41040,1920,1.7912011173184357,4.275,4.275,9.6e-06,106,1.0435e-05,2087.0
16,12,4,8,0.0029871516767443953,41,27183.0,52644,656,1.816876617773943,16.05,16.05,3.28e-06,136,4.21e-06,842.0
16,14,4,8,0.002973763557908741,36,26172.0,50832,576,1.8177656987555428,17.65,17.65,2.8800000000000004e-06,136,3.795e-06,759.0
16,16,4,8,0.002963176447483812,31,24521.0,47740,496,1.8143123171056132,19.25,18.143123171056132,2.6313e-06,136,0.0,0.0
