NZr,NZc,Tr,Tc,MSE,Nsteps,Compressed Memory Footprint (byte),Nops,Ncycles,CTC (Ops/byte),CP (GOps/s),AttPerf (GOps/s),Execution Time (s),DSP Usage,Simulated Execution Time (s),Simulated Ncycles
28,12,4,16,0.0029555099097207022,13,16087.5,31668,364,1.7711904695321457,17.4,17.4,1.8200000000000002e-06,176,2.615e-06,523.0
32,48,4,2,0.002980456483356638,17,15776.0,30532,816,1.7379326047358834,7.483333333333333,7.483333333333333,4.08e-06,106,4.98e-06,996.0
32,56,4,2,0.0029738570131868443,15,14880.0,28860,840,1.731046065259117,6.871428571428571,6.871428571428571,4.2e-06,106,5.09e-06,1018.0
32,64,4,2,0.0029424062714346506,14,14784.0,28728,896,1.7331081081081081,6.4125,6.4125,4.48e-06,106,5.365e-06,1073.0
32,72,4,2,0.0029557970247726965,13,14560.0,28340,936,1.7331213307240705,6.055555555555555,6.055555555555555,4.68e-06,106,5.56e-06,1112.0
32,80,4,2,0.002888656317939515,13,15392.0,30004,1040,1.7460428305400373,5.77,5.77,5.2e-06,106,6.08e-06,1216.0
32,88,4,2,0.0029798296411803283,12,14976.0,29232,1056,1.743320610687023,5.536363636363637,5.536363636363637,5.279999999999999e-06,106,6.155e-06,1231.0
32,96,4,2,0.0029686449686937228,12,15744.0,30768,1152,1.7545620437956204,5.341666666666666,5.341666666666666,5.760000000000001e-06,106,6.635e-06,1327.0
32,12,4,8,0.0029449445914664836,24,22056.0,43104,768,1.8074471653807447,11.225,11.225,3.84e-06,136,4.685e-06,937.0
32,14,4,8,0.002935489345529278,21,20643.0,40404,672,1.8009360374414976,12.025,12.025,3.36e-06,136,4.2e-06,840.0
32,16,4,8,0.002952955442155464,18,18846.0,36936,576,1.7897083050683207,12.825,12.825,2.88e-06,136,3.715e-06,743.0
32,18,4,8,0.0029492956286271263,16,17776.0,34880,512,1.7825020441537203,13.625,13.625,2.56e-06,136,3.395e-06,679.0
32,20,4,8,0.0029758559890831785,14,16450.0,32312,448,1.7712970069071374,14.425,14.425,2.24e-06,136,3.075e-06,615.0
32,22,4,8,0.0029494994901861932,13,16107.0,31668,416,1.7692608525615956,15.225,15.225,2.08e-06,136,2.92e-06,584.0
32,24,4,8,0.0029686449686937228,12,15636.0,30768,384,1.765434932292862,16.025,16.025,1.9200000000000003e-06,136,2.765e-06,553.0
32,6,4,16,0.0029852544104216608,25,22937.5,44900,800,1.8156452819507067,11.225,11.225,4e-06,176,4.825e-06,965.0
32,7,4,16,0.002979499103792784,22,21593.0,42328,704,1.8100491768227496,12.025,12.025,3.52e-06,176,4.335e-06,867.0
32,8,4,16,0.002975571762756823,19,19864.5,38988,608,1.80029090573269,12.825,12.825,3.04e-06,176,3.845e-06,769.0
32,9,4,16,0.0029652977637237396,17,18861.5,37060,544,1.794368993148861,13.625,13.625,2.72e-06,176,3.52e-06,704.0
32,10,4,16,0.0029639262143699814,15,17602.5,34620,480,1.785042151125319,14.425,14.425,2.4e-06,176,3.195e-06,639.0
32,11,4,16,0.0029986752168192645,13,16087.5,31668,416,1.7711904695321457,15.225,15.225,2.08e-06,176,2.87e-06,574.0
32,12,4,16,0.0029686449686937228,12,15618.0,30768,384,1.7672601952900633,16.025,16.025,1.9200000000000003e-06,176,2.71e-06,542.0
8,48,8,2,0.002976525305748522,34,22780.0,43656,1632,1.7766563568289109,5.35,5.35,8.160000000000001e-06,186,8.705e-06,1741.0
8,56,8,2,0.0029964631206089356,30,22020.0,42360,1680,1.7789349907609608,5.042857142857143,5.042857142857143,8.4e-06,186,8.925e-06,1785.0
8,64,8,2,0.002987884461754758,27,21546.0,41580,1728,1.7816436712657469,4.8125,4.8125,8.64e-06,186,9.15e-06,1830.0
8,72,8,2,0.0029928981598505927,25,21550.0,41700,1800,1.7864793076857168,4.633333333333334,4.633333333333334,9e-06,186,9.5e-06,1900.0
8,80,8,2,0.0029478509370327133,25,23150.0,44900,2000,1.8001764092695052,4.49,4.49,1e-05,186,1.05e-05,2100.0
8,88,8,2,0.0029936739078476465,23,22770.0,44252,2024,1.8016448171972967,4.372727272727273,4.372727272727273,1.012e-05,186,1.061e-05,2122.0
8,96,8,2,0.0029565726841979455,24,25296.0,49248,2304,1.8180744240992321,4.275,4.275,1.1519999999999998e-05,186,1.2015e-05,2403.0
10,48,8,2,0.0029648672658872995,28,20552.0,39536,1344,1.7694235588972431,5.883333333333334,5.883333333333334,6.719999999999999e-06,186,7.245e-06,1449.0
10,56,8,2,0.0029958415676147503,24,19152.0,36960,1344,1.7647058823529411,5.5,5.5,6.72e-06,186,7.225e-06,1445.0
10,64,8,2,0.002979961313306376,22,18964.0,36696,1408,1.767970707265369,5.2125,5.2125,7.0399999999999995e-06,186,7.535e-06,1507.0
10,72,8,2,0.00295940087876078,21,19446.0,37716,1512,1.7758734344100198,4.988888888888889,4.988888888888889,7.56e-06,186,8.05e-06,1610.0
10,80,8,2,0.0029875767118112467,20,19800.0,38480,1600,1.782141533901445,4.81,4.81,8.000000000000001e-06,186,8.485e-06,1697.0
10,88,8,2,0.0029529686813373657,20,21080.0,41040,1760,1.794333683105981,4.663636363636363,4.663636363636363,8.800000000000002e-06,186,9.285e-06,1857.0
10,96,8,2,0.0029313987339109164,20,22360.0,43600,1920,1.8052335210334547,4.541666666666666,4.541666666666666,9.600000000000001e-06,186,1.0085e-05,2017.0
12,48,8,2,0.002973966877816177,23,18354.0,35420,1104,1.7581653926337735,6.416666666666667,6.416666666666667,5.52e-06,186,6.03e-06,1206.0
12,56,8,2,0.0029964742156649115,20,17240.0,33360,1120,1.7528373266078183,5.957142857142857,5.957142857142857,5.6e-06,186,6.095e-06,1219.0
12,64,8,2,0.0029501626017734606,19,17594.0,34124,1216,1.7602393479830807,5.6125,5.6125,6.08e-06,186,6.57e-06,1314.0
12,72,8,2,0.0029195066893061366,18,17820.0,34632,1296,1.7658576381807056,5.344444444444444,5.344444444444444,6.48e-06,186,6.965e-06,1393.0
12,80,8,2,0.002938537347822616,17,17918.0,34884,1360,1.7698630136986302,5.13,5.13,6.8e-06,186,7.28e-06,1456.0
12,88,8,2,0.0029913509574746593,16,17888.0,34880,1408,1.7723577235772359,4.954545454545455,4.954545454545455,7.0399999999999995e-06,186,7.515e-06,1503.0
12,96,8,2,0.0029734612024819363,16,18912.0,36928,1536,1.7836166924265842,4.808333333333334,4.808333333333334,7.68e-06,186,8.155e-06,1631.0
14,48,8,2,0.0029938397578197678,19,16378.0,31692,912,1.7441937259218492,6.95,6.95,4.56e-06,186,5.06e-06,1012.0
14,56,8,2,0.0029770400654455177,17,15742.0,30532,952,1.7413026120679822,6.414285714285714,6.414285714285714,4.76e-06,186,5.25e-06,1050.0
14,64,8,2,0.0029272432012902795,16,15840.0,30784,1024,1.7459165154264973,6.0125,6.0125,5.12e-06,186,5.605e-06,1121.0
14,72,8,2,0.002917620961960938,15,15810.0,30780,1080,1.7486649244404044,5.7,5.7,5.4e-06,186,5.88e-06,1176.0
14,80,8,2,0.0029592849595925412,14,15652.0,30520,1120,1.7495987158908508,5.45,5.45,5.6e-06,186,6.075e-06,1215.0
14,88,8,2,0.00292238949474378,14,16548.0,32312,1232,1.7618320610687024,5.245454545454545,5.245454545454545,6.16e-06,186,6.635e-06,1327.0
14,96,8,2,0.002911094379788654,14,17444.0,34104,1344,1.7729257641921397,5.075,5.075,6.72e-06,186,7.195e-06,1439.0
16,48,8,2,0.002980456483356638,17,15742.0,30532,816,1.7413026120679822,7.483333333333333,7.483333333333333,4.08e-06,186,4.58e-06,916.0
16,56,8,2,0.0029738570131868443,15,14850.0,28860,840,1.7341665665184474,6.871428571428571,6.871428571428571,4.2e-06,186,4.69e-06,938.0
16,64,8,2,0.0029424062714346506,14,14756.0,28728,896,1.736040609137056,6.4125,6.4125,4.48e-06,186,4.965e-06,993.0
16,72,8,2,0.0029557970247726965,13,14534.0,28340,936,1.7358814161460248,6.055555555555555,6.055555555555555,4.68e-06,186,5.16e-06,1032.0
16,80,8,2,0.002888656317939515,13,15366.0,30004,1040,1.7486886583517893,5.77,5.77,5.2e-06,186,5.68e-06,1136.0
16,88,8,2,0.0029798296411803283,12,14952.0,29232,1056,1.745819397993311,5.536363636363637,5.536363636363637,5.279999999999999e-06,186,5.755e-06,1151.0
16,96,8,2,0.0029686449686937228,12,15720.0,30768,1152,1.7569666514390132,5.341666666666666,5.341666666666666,5.760000000000001e-06,186,6.235e-06,1247.0
