NZr,NZc,Tr,Tc,MSE,Nsteps,Compressed Memory Footprint (byte),Nops,Ncycles,CTC (Ops/byte),CP (GOps/s),AttPerf (GOps/s),Execution Time (s)
40,4,2,32,0.0069817131539536776,51,93266.25,45696,8160,0.4807157716452807,1.12,1.12,4.0799999999999996e-05
40,5,2,32,0.006985688190258705,41,80226.75,39360,6560,0.4798902689933704,1.2,1.2,3.28e-05
40,6,2,32,0.006933636321796899,35,72966.25,35840,5600,0.47941197125400875,1.28,1.28,2.8e-05
40,2,2,64,0.006984744620571405,52,95075.5,46592,8320,0.480986915116009,1.12,1.12,4.1599999999999995e-05
40,3,2,64,0.006933636321796899,35,72953.125,35840,5600,0.4794961544314763,1.28,1.28,2.8e-05
48,48,2,2,0.006995131109553643,41,80688.0,39360,7872,0.4772065955383123,1.0,1.0,3.936e-05
48,56,2,2,0.006950368353539378,38,77216.0,37696,7296,0.47711624139327663,1.0333333333333334,1.0333333333333334,3.647999999999999e-05
48,64,2,2,0.006914490843566579,36,75456.0,36864,6912,0.4772162386081193,1.0666666666666664,1.0666666666666664,3.456000000000001e-05
48,72,2,2,0.0069524483381357485,34,73440.0,35904,6528,0.47724372607401105,1.1,1.1,3.264e-05
48,80,2,2,0.006942198260271739,33,73392.0,35904,6336,0.47754841455628855,1.1333333333333335,1.1333333333333335,3.1679999999999995e-05
48,88,2,2,0.0069940786553141865,32,73216.0,35840,6144,0.4778156996587031,1.1666666666666665,1.1666666666666665,3.0720000000000004e-05
48,96,2,2,0.006967627118140483,32,75264.0,36864,6144,0.47840531561461797,1.2,1.2,3.072e-05
48,12,2,8,0.006989132435963232,54,105786.0,51840,10368,0.4818829128632248,1.0,1.0,5.184e-05
48,14,2,8,0.006939175444245993,48,97104.0,47616,9216,0.4814754894030092,1.0333333333333334,1.0333333333333334,4.607999999999999e-05
48,16,2,8,0.006913072458326781,43,89741.0,44032,8256,0.4810505500748364,1.0666666666666664,1.0666666666666664,4.1280000000000005e-05
48,18,2,8,0.006923719269807896,39,83889.0,41184,7488,0.48066665888586735,1.1,1.1,3.744e-05
48,20,2,8,0.0069192115288476755,36,79740.0,39168,6912,0.48040033361134277,1.1333333333333335,1.1333333333333335,3.4559999999999994e-05
48,22,2,8,0.0068776556142849015,34,77486.0,38080,6528,0.4803350235878806,1.1666666666666665,1.1666666666666665,3.2640000000000006e-05
48,24,2,8,0.006967627118140483,32,74976.0,36864,6144,0.48020008336807,1.2,1.2,3.072e-05
48,6,2,16,0.006956801401155393,60,117450.0,57600,11520,0.48305127388000874,1.0,1.0,5.76e-05
48,7,2,16,0.006960656132333739,51,103096.5,50592,9792,0.4823407713905719,1.0333333333333334,1.0333333333333334,4.895999999999999e-05
