NZr,NZc,Tr,Tc,MSE,Nsteps,Compressed Memory Footprint (byte),Nops,Ncycles,CTC (Ops/byte),CP (GOps/s),AttPerf (GOps/s),Execution Time (s)
32,48,2,2,0.0076209848055131795,81,54756.0,104004,3888,1.8392162410695339,5.35,5.35,1.944e-05
32,56,2,2,0.007268806689653826,81,59940.0,114372,4536,1.8527182012570467,5.042857142857143,5.042857142857143,2.268e-05
32,64,2,2,0.006996748623801374,80,64320.0,123200,5120,1.8635043562439497,4.8125,4.8125,2.56e-05
32,72,2,2,0.006988492618138456,75,65100.0,125100,5400,1.8701787956706333,4.633333333333334,4.633333333333334,2.6999999999999996e-05
32,80,2,2,0.006984728609516875,73,68036.0,131108,5840,1.877584922953543,4.49,4.49,2.92e-05
32,88,2,2,0.00696858637688204,71,70716.0,136604,6248,1.883985215424505,4.372727272727273,4.372727272727273,3.124e-05
32,96,2,2,0.006937778038515455,72,76320.0,147744,6912,1.8914379352724293,4.275,4.275,3.456e-05
32,12,2,8,0.008598275239210605,81,54027.0,104004,2592,1.863236532363532,8.025,8.025,1.296e-05
32,14,2,8,0.008070568857977998,81,59211.0,114372,2592,1.874858613510811,8.825,8.825,1.2960000000000001e-05
32,16,2,8,0.007690165922880226,81,64395.0,124740,2592,1.8846601296327072,9.625,9.625,1.296e-05
32,18,2,8,0.00737089033495765,81,69579.0,135108,2592,1.8930377884574967,10.425,10.425,1.296e-05
32,20,2,8,0.006987159279983345,81,74763.0,145476,2592,1.9002808438377636,11.225,11.225,1.296e-05
32,22,2,8,0.006979932105015957,75,74025.0,144300,2400,1.9032670773045623,12.025,12.025,1.2e-05
32,24,2,8,0.006937778038515455,72,75672.0,147744,2304,1.907260146648766,12.825,12.825,1.152e-05
32,6,2,16,0.008813299118799257,81,53905.5,104004,2592,1.8673010458279098,8.025,8.025,1.296e-05
32,7,2,16,0.008291841647378104,81,59089.5,114372,2592,1.8786002315974475,8.825,8.825,1.2960000000000001e-05
32,8,2,16,0.007994853670009804,81,64273.5,124740,2592,1.888126177808387,9.625,9.625,1.296e-05
32,9,2,16,0.007451229594345488,81,69457.5,135108,2592,1.8962659387083418,10.425,10.425,1.296e-05
32,10,2,16,0.007056588816328925,81,74641.5,145476,2592,1.9033015627964178,11.225,11.225,1.296e-05
32,11,2,16,0.006967879188563828,76,74898.0,146224,2432,1.906689268483505,12.025,12.025,1.216e-05
32,12,2,16,0.006937778038515455,72,75564.0,147744,2304,1.9099229536170432,12.825,12.825,1.152e-05
32,3,2,32,0.008969993039565173,81,53844.75,104004,2592,1.869339959648973,8.025,8.025,1.296e-05
32,4,2,32,0.008032644519708278,81,64212.75,124740,2592,1.8898639870615372,9.625,9.625,1.296e-05
32,5,2,32,0.007257288942133188,81,74580.75,145476,2592,1.904815526480322,11.225,11.225,1.296e-05
32,6,2,32,0.006937778038515455,72,75510.0,147744,2304,1.9112571472924376,12.825,12.825,1.152e-05
32,2,2,64,0.008054847871980199,81,64182.375,124740,2592,1.890734091834898,9.625,9.625,1.296e-05
32,3,2,64,0.006937778038515455,72,75483.0,147744,2304,1.9119249433840182,12.825,12.825,1.152e-05
40,48,2,2,0.0071167842887079735,81,59940.0,114372,3888,1.8527182012570467,5.883333333333334,5.883333333333334,1.944e-05
40,56,2,2,0.006994782207126291,73,58692.0,112420,4088,1.8586733681634813,5.5,5.5,2.044e-05
40,64,2,2,0.006992381036489954,68,59024.0,113424,4352,1.8650355169692185,5.2125,5.2125,2.176e-05
40,72,2,2,0.006981760464608449,65,60580.0,116740,4680,1.8716731866863336,4.988888888888889,4.988888888888889,2.34e-05
40,80,2,2,0.006942735583441691,61,60756.0,117364,4880,1.87638293790369,4.81,4.81,2.4400000000000004e-05
40,88,2,2,0.006965829306888422,60,63600.0,123120,5280,1.8827991191583069,4.663636363636363,4.663636363636363,2.6400000000000005e-05
40,96,2,2,0.006976586086678982,59,66316.0,128620,5664,1.888471251541669,4.541666666666666,4.541666666666666,2.8320000000000003e-05
40,12,2,8,0.00806477689680837,81,59211.0,114372,3240,1.874858613510811,7.059999999999999,7.059999999999999,1.6200000000000004e-05
40,14,2,8,0.007553562611856718,81,64395.0,124740,3240,1.8846601296327072,7.7,7.7,1.62e-05
40,16,2,8,0.007057652925546608,81,69579.0,135108,3240,1.8930377884574967,8.34,8.34,1.62e-05
40,18,2,8,0.006999885088827217,75,69225.0,134700,3000,1.8967289522227073,8.98,8.98,1.5e-05
40,20,2,8,0.006990263016084353,67,66129.0,128908,2680,1.8979108081447564,9.62,9.62,1.3400000000000002e-05
40,22,2,8,0.006990120836170435,62,65162.0,127224,2480,1.900170266152881,10.26,10.26,1.24e-05
40,24,2,8,0.006976586086678982,59,65785.0,128620,2360,1.9033102978824157,10.9,10.9,1.18e-05
40,6,2,16,0.008382480403431664,81,59089.5,114372,3240,1.8786002315974475,7.059999999999999,7.059999999999999,1.6200000000000004e-05
40,7,2,16,0.007767520026699009,81,64273.5,124740,3240,1.888126177808387,7.7,7.7,1.62e-05
40,8,2,16,0.007429911188761848,81,69457.5,135108,3240,1.8962659387083418,8.34,8.34,1.62e-05
40,9,2,16,0.006976683405358722,79,72798.5,141884,3160,1.9021725286732225,8.98,8.98,1.58e-05
