NZr,NZc,Tr,Tc,Accuracy (%),MSE,Nsteps,Compressed Memory Footprint (byte),Nops,Ncycles,CTC (Ops/byte),CP (GOps/s),AttPerf (GOps/s),Execution Time (s),DSP Usage,BRAM Usage,Simulated Ncycles,Simulated Execution Time (s)
4,48,8,2,85.55,0.0059668447746918,41,44362.0,84296,1968,1.7965133626017646,6.425,6.425,1.312e-05,372,68,2016,1.344e-05
4,64,8,2,85.41,0.0059745745408952,34,45492.0,87312,2176,1.817031549155082,6.01875,6.01875,1.4506666666666668e-05,372,68,2217,1.478e-05
4,88,8,2,85.17,0.0059702806811034,31,53382.0,103416,2728,1.848628937113439,5.686363636363636,5.686363636363636,1.8186666666666666e-05,372,68,2766,1.844e-05
4,16,8,8,85.47,0.0059761071635189,40,52800.0,102720,640,1.8554913294797688,24.075,18.55491329479769,5.536e-06,432,80,689,4.593333333333333e-06
4,18,8,8,85.65,0.0059909051103293,36,52128.0,101664,648,1.8589818607372732,23.53333333333333,18.58981860737273,5.4688e-06,432,80,693,4.62e-06
4,22,8,8,85.47,0.0058316640277126,35,59640.0,116760,770,1.8771704180064308,22.745454545454542,18.771704180064308,6.22e-06,432,80,814,5.426666666666667e-06
4,10,8,16,85.22999999999999,0.0059813149914411,35,55055.0,107800,350,1.8710405276403714,46.2,18.710405276403716,5.7615e-06,512,96,395,2.6333333333333332e-06
4,11,8,16,85.15,0.0056377432716548,40,68040.0,133440,440,1.890084985835694,45.490909090909085,18.900849858356942,7.059999999999999e-06,512,96,490,3.2666666666666666e-06
6,48,8,2,85.22999999999999,0.0057777167351351,33,39930.0,76296,1584,1.7956224994116263,7.225,7.225,1.056e-05,372,68,1626,1.084e-05
6,56,8,2,85.26,0.0055176856074633,35,46830.0,89880,1960,1.819801579267058,6.878571428571428,6.878571428571428,1.3066666666666668e-05,372,68,2004,1.336e-05
6,64,8,2,85.54,0.0056848664226418,29,42514.0,81896,1856,1.816923281714514,6.61875,6.61875,1.2373333333333332e-05,372,68,1894,1.2626666666666667e-05
6,72,8,2,85.72,0.0059032181126187,24,38256.0,73920,1728,1.8110544884359074,6.416666666666667,6.416666666666667,1.152e-05,372,68,1761,1.174e-05
6,96,8,2,85.22,0.0050355236212059,38,75164.0,146224,3648,1.8813236580721528,6.0125,6.0125,2.432e-05,372,68,3695,2.4633333333333334e-05
6,12,8,8,85.42999999999999,0.0059742836364831,38,45296.0,87856,456,1.8358408559010364,28.9,18.358408559010364,4.7856e-06,432,80,505,3.3666666666666665e-06
6,14,8,8,85.96000000000001,0.0059907955517861,32,42240.0,82176,448,1.8342857142857143,27.514285714285712,18.34285714285714,4.48e-06,432,80,491,3.2733333333333335e-06
6,16,8,8,85.28,0.0059593397549346,29,41992.0,81896,464,1.8382115281019933,26.475,18.38211528101993,4.4552e-06,432,80,504,3.36e-06
6,18,8,8,85.32,0.0058537451817123,29,45704.0,89320,522,1.8506547323056521,25.666666666666668,18.506547323056523,4.826399999999999e-06,432,80,562,3.7466666666666667e-06
6,22,8,8,85.22999999999999,0.0059382652211734,23,42136.0,82616,506,1.8483980669411133,24.490909090909092,18.48398066941113,4.4696e-06,432,80,540,3.6e-06
6,24,8,8,85.22,0.0050355236212059,38,74480.0,146224,912,1.8980269989615783,24.05,18.980269989615785,7.704e-06,432,80,961,6.406666666666667e-06
6,6,8,16,85.78,0.0059676587370455,40,47560.0,92480,240,1.845171588188348,57.8,18.45171588188348,5.012e-06,512,96,292,1.9466666666666665e-06
6,7,8,16,85.58,0.0058908112224957,37,48729.0,95016,259,1.8525609779874828,55.028571428571425,18.525609779874827,5.128899999999999e-06,512,96,308,2.0533333333333333e-06
6,8,8,16,85.17,0.0058539067008619,33,47685.0,93192,264,1.8547517165887153,52.95,18.547517165887154,5.0245e-06,512,96,309,2.06e-06
6,9,8,16,85.27,0.0059475459101222,28,44044.0,86240,252,1.8504849369152863,51.333333333333336,18.50484936915286,4.6604e-06,512,96,292,1.9466666666666665e-06
6,10,8,16,85.71,0.0059626498042406,25,42525.0,83400,250,1.8498391926361317,50.04,18.498391926361318,4.5085e-06,512,96,287,1.9133333333333334e-06
6,11,8,16,85.16,0.0054497288439837,32,58528.0,114944,352,1.8816134101623887,48.981818181818184,18.816134101623888,6.108799999999999e-06,512,96,396,2.64e-06
6,12,8,16,85.22,0.0050355236212059,38,74366.0,146224,456,1.9008397680888127,48.1,19.008397680888127,7.6926e-06,512,96,506,3.3733333333333334e-06
6,3,8,32,85.22,0.0059871956177684,41,48687.5,94792,246,1.8496902287916483,57.8,18.496902287916484,5.12475e-06,672,128,297,1.98e-06
6,4,8,32,85.82,0.0059855367166163,31,44748.5,87544,186,1.850491983470201,70.6,18.504919834702008,4.730850000000001e-06,672,128,228,1.52e-06
6,5,8,32,85.25,0.0059968982056068,25,42487.5,83400,150,1.8513790998390587,83.4,18.513790998390586,4.50475e-06,672,128,187,1.2466666666666667e-06
6,6,8,32,85.22,0.0050355236212059,38,74309.0,146224,228,1.902249281244715,96.2,19.022492812447148,7.686900000000001e-06,672,128,279,1.86e-06
6,2,8,64,85.19,0.005613088538419,40,57710.0,112960,240,1.8742326198772192,70.6,18.742326198772194,6.026999999999999e-06,992,192,290,1.933333333333333e-06
6,3,8,64,85.22,0.0050355236212059,38,74280.5,146224,228,1.9029548220014185,96.2,19.029548220014185,7.68405e-06,992,192,277,1.8466666666666666e-06
8,48,8,2,85.18,0.0055743736174724,30,40140.0,77040,1440,1.804215456674473,8.025,8.025,9.6e-06,372,68,1481,9.873333333333333e-06
8,56,8,2,85.22,0.0054921886522447,28,41048.0,79072,1568,1.813245276096129,7.564285714285715,7.564285714285715,1.0453333333333332e-05,372,68,1607,1.0713333333333333e-05
8,64,8,2,85.28999999999999,0.0057884033121653,21,33474.0,64680,1344,1.7949714158849974,7.21875,7.21875,8.96e-06,372,68,1376,9.173333333333334e-06
8,72,8,2,85.24000000000001,0.0053695245841856,26,44772.0,86736,1872,1.832502324009127,6.95,6.95,1.248e-05,372,68,1909,1.2726666666666666e-05
8,80,8,2,85.2,0.0052522083847303,27,49950.0,96984,2160,1.8469624833365073,6.735,6.735,1.44e-05,372,68,2198,1.4653333333333333e-05
8,88,8,2,85.34,0.0056870237668154,20,39560.0,76960,1760,1.8271604938271604,6.559090909090909,6.559090909090909,1.1733333333333333e-05,372,68,1791,1.194e-05
8,96,8,2,85.55,0.005673088727819,20,42120.0,82080,1920,1.837063563115488,6.4125,6.4125,1.28e-05,372,68,1951,1.3006666666666667e-05
8,14,8,8,85.50999999999999,0.0059446614377939,26,37648.0,73424,364,1.8261042578591324,30.25714285714286,18.261042578591326,4.0208e-06,432,80,403,2.6866666666666666e-06
8,16,8,8,85.52,0.005783032229632,26,40976.0,80080,416,1.8393972804116134,28.875,18.393972804116135,4.353599999999999e-06,432,80,455,3.0333333333333332e-06
8,18,8,8,85.26,0.0055081054202901,28,47712.0,93408,504,1.858052196053469,27.8,18.58052196053469,5.027200000000001e-06,432,80,545,3.6333333333333334e-06
8,20,8,8,85.15,0.0052995957742863,29,53128.0,104168,580,1.8705645740554517,26.94,18.705645740554516,5.5688e-06,432,80,622,4.146666666666667e-06
8,22,8,8,85.19,0.0051648096885759,29,56840.0,111592,638,1.8786531986531987,26.236363636363635,18.786531986531987,5.94e-06,432,80,680,4.533333333333334e-06
