Weight Word Length,Activation Word Length,Rank,Quant SVD BLEU (Range-Based),Iterative Quant SVD BLEU (Range-Based),Compression Ratio
4,6,64,16.272637617629467,16.272637617629467,32.0
4,6,80,22.027764794806508,22.027764794806508,25.6
4,6,96,25.009382105963834,25.009382105963834,21.333333333333332
4,6,112,25.860111634684056,25.860111634684056,18.285714285714285
4,6,128,31.566868896831252,31.566868896831252,16.0
4,6,144,32.39578596553264,32.39578596553264,14.222222222222221
4,6,160,34.17066783496111,34.17066783496111,12.8
4,6,176,37.29976018987837,37.29976018987837,11.636363636363637
4,6,192,37.13835566785647,37.13835566785647,10.666666666666666
4,6,208,39.34349662577588,39.34349662577588,9.846153846153847
4,6,224,38.49088876831328,38.49088876831328,9.142857142857142
4,6,240,39.5159462142514,39.5159462142514,8.533333333333333
4,6,256,41.16763889888715,41.16763889888715,8.0
4,6,272,41.458203188629476,41.458203188629476,7.529411764705882
4,6,288,41.63573318147262,41.63573318147262,7.111111111111111
4,6,304,40.46177135994957,40.46177135994957,6.7368421052631575
4,6,320,39.928819881292796,39.928819881292796,6.4
4,6,336,39.745324854387,39.745324854387,6.095238095238095
4,6,352,40.43250523382209,40.43250523382209,5.818181818181818
4,6,368,39.77571847015201,39.77571847015201,5.565217391304348
4,6,384,39.6810731561481,39.6810731561481,5.333333333333333
4,6,400,41.104408693114586,41.104408693114586,5.12
4,6,416,40.14028841090286,40.14028841090286,4.923076923076923
4,6,432,40.01295155588034,40.01295155588034,4.7407407407407405
4,6,448,39.79289575027439,39.79289575027439,4.571428571428571
4,6,464,40.2205596356855,40.2205596356855,4.413793103448276
4,6,480,40.65658132241586,40.65658132241586,4.266666666666667
4,6,496,40.52506933896353,40.52506933896353,4.129032258064516
4,6,512,40.36758425080782,40.36758425080782,4.0
4,8,64,17.11052338466052,17.11052338466052,32.0
4,8,80,19.45029541215606,19.45029541215606,25.6
4,8,96,25.860108753181617,25.860108753181617,21.333333333333332
4,8,112,27.948517533372303,27.948517533372303,18.285714285714285
4,8,128,30.415574828292062,30.415574828292062,16.0
4,8,144,31.799619566798988,31.799619566798988,14.222222222222221
4,8,160,35.36623852989671,35.36623852989671,12.8
4,8,176,37.074850328598444,37.074850328598444,11.636363636363637
4,8,192,37.8275210830332,37.8275210830332,10.666666666666666
4,8,208,38.82489270491833,38.82489270491833,9.846153846153847
4,8,224,39.38106799205286,39.38106799205286,9.142857142857142
4,8,240,39.45064418869467,39.45064418869467,8.533333333333333
4,8,256,39.21850504347984,39.21850504347984,8.0
4,8,272,41.03130045841261,41.03130045841261,7.529411764705882
4,8,288,41.18736965475835,41.18736965475835,7.111111111111111
4,8,304,41.24653830467203,41.24653830467203,6.7368421052631575
4,8,320,40.784953824512236,40.784953824512236,6.4
4,8,336,41.357961490223,41.357961490223,6.095238095238095
4,8,352,40.76644024532773,40.76644024532773,5.818181818181818
4,8,368,40.97072002495564,40.97072002495564,5.565217391304348
4,8,384,40.953721797383174,40.953721797383174,5.333333333333333
4,8,400,40.80685093033001,40.80685093033001,5.12
4,8,416,40.22345482828344,40.22345482828344,4.923076923076923
4,8,432,40.24931057940897,40.24931057940897,4.7407407407407405
4,8,448,40.74772464361376,40.74772464361376,4.571428571428571
4,8,464,40.095084381973194,40.095084381973194,4.413793103448276
4,8,480,40.63235289884679,40.63235289884679,4.266666666666667
4,8,496,41.72724916402173,41.72724916402173,4.129032258064516
4,8,512,40.73368917660328,40.73368917660328,4.0
4,16,64,14.184292214057393,14.184292214057393,32.0
4,16,80,21.689468297786377,21.689468297786377,25.6
4,16,96,26.495775749249773,26.495775749249773,21.333333333333332
4,16,112,27.89253388820664,27.89253388820664,18.285714285714285
4,16,128,31.147130596839585,31.147130596839585,16.0
4,16,144,31.579631016518316,31.579631016518316,14.222222222222221
4,16,160,34.711608653950925,34.711608653950925,12.8
4,16,176,37.554644914585474,37.554644914585474,11.636363636363637
4,16,192,38.2428122766767,38.2428122766767,10.666666666666666
4,16,208,39.371319444380234,39.371319444380234,9.846153846153847
4,16,224,38.66786226145476,38.66786226145476,9.142857142857142
4,16,240,39.64187338707057,39.64187338707057,8.533333333333333
4,16,256,40.21348156386248,40.21348156386248,8.0
4,16,272,40.99611283667704,40.99611283667704,7.529411764705882
4,16,288,41.48839295749253,41.48839295749253,7.111111111111111
4,16,304,41.23596143712524,41.23596143712524,6.7368421052631575
4,16,320,40.811733329584705,40.811733329584705,6.4
4,16,336,40.87614444975101,40.87614444975101,6.095238095238095
4,16,352,41.39565114357344,41.39565114357344,5.818181818181818
4,16,368,41.148736453869056,41.148736453869056,5.565217391304348
4,16,384,41.15809683504745,41.15809683504745,5.333333333333333
4,16,400,40.12135683620476,40.12135683620476,5.12
4,16,416,40.75356015297332,40.75356015297332,4.923076923076923
4,16,432,40.40938076562239,40.40938076562239,4.7407407407407405
4,16,448,40.90672642549855,40.90672642549855,4.571428571428571
4,16,464,40.80663642353443,40.80663642353443,4.413793103448276
4,16,480,41.02198190196794,41.02198190196794,4.266666666666667
4,16,496,41.278992672154345,41.278992672154345,4.129032258064516
4,16,512,40.37710020757028,40.37710020757028,4.0
