Word Length,Rank,Quant SVD BLEU (Range-Based),Iterative Quant SVD BLEU (Range-Based),Compression Ratio
3,64,10.556166343006456,9.7165106257177,42.666666666666664
3,80,18.342236414608102,18.642968204770042,34.13333333333333
3,96,19.290879957286545,21.526549984545365,28.444444444444443
3,112,26.500960802057484,25.504475306007958,24.38095238095238
3,128,26.34549466851186,27.849537278094296,21.333333333333332
3,144,27.025345034443987,30.558839283529093,18.962962962962962
3,160,29.355047997074468,31.852886105217276,17.066666666666666
3,176,30.519679975225923,32.9147645711837,15.515151515151516
3,192,32.82181968557115,33.09330850823362,14.222222222222221
3,208,33.16081721804826,36.05738038617577,13.128205128205128
3,224,35.01530535368357,36.640616089486976,12.19047619047619
3,240,34.36139852893954,37.12169590394171,11.377777777777778
3,256,35.50762847488092,37.67098943038707,10.666666666666666
3,272,36.64960260009525,38.96340246901899,10.03921568627451
3,288,36.80819735933885,38.46078687639255,9.481481481481481
3,304,37.72534265532377,38.607284580033365,8.982456140350877
3,320,38.36679211572612,38.983179782920764,8.533333333333333
3,336,38.97752725801688,40.23997389718588,8.126984126984127
3,352,39.427153328596134,41.303599642343016,7.757575757575758
3,368,40.44154400626627,43.049368993374664,7.420289855072464
3,384,39.47321804016736,42.126901356156026,7.111111111111111
3,400,40.358193631663866,41.59616783764141,6.826666666666667
3,416,39.956137858287185,41.52578592752353,6.564102564102564
3,432,41.305836679703575,40.90103002304858,6.320987654320987
3,448,40.766422395681396,41.873252880370586,6.095238095238095
3,464,40.63823960988049,42.145269071452304,5.885057471264368
3,480,40.51505379858931,42.43664643852206,5.688888888888889
3,496,40.71020777908738,42.28852182146608,5.505376344086022
3,512,40.656879295369244,41.81522160632613,5.333333333333333
4,64,18.934548921310586,20.5943158567343,32.0
4,80,21.569419337335855,23.723812143809727,25.6
4,96,25.832809093573545,26.25993170850845,21.333333333333332
4,112,28.164027186423475,29.755215929854987,18.285714285714285
4,128,30.68069544094158,31.610546090150514,16.0
4,144,32.91292725958491,33.627011001924984,14.222222222222221
4,160,33.84108157706922,34.63678139845097,12.8
4,176,35.957310080314144,36.54558561065349,11.636363636363637
4,192,37.50290100806634,37.994094902635396,10.666666666666666
4,208,37.73643329055869,38.69509828439387,9.846153846153847
4,224,37.578691801550484,39.50130096470621,9.142857142857142
4,240,38.60667790625474,40.146280283641744,8.533333333333333
4,256,38.61437212752533,40.30140729128418,8.0
4,272,39.334537643041855,40.24897821539203,7.529411764705882
4,288,40.846721111674306,42.36904790478005,7.111111111111111
4,304,41.8669371170701,42.411160777703245,6.7368421052631575
4,320,41.46168359487677,41.92424001742125,6.4
4,336,42.24618305274991,41.231926421545786,6.095238095238095
4,352,42.46188471292838,42.541890456394,5.818181818181818
4,368,42.35040135300124,41.88248918211306,5.565217391304348
4,384,41.42867491057435,42.054290230765105,5.333333333333333
4,400,42.02728214674566,41.26169120136184,5.12
4,416,42.73730343266332,43.91319312692164,4.923076923076923
4,432,42.463170847180635,43.60824454297431,4.7407407407407405
4,448,42.75696707969884,44.12348521093277,4.571428571428571
4,464,42.465866642019996,43.170548273504735,4.413793103448276
4,480,42.23553771306035,43.35056149260283,4.266666666666667
4,496,42.46025221614117,43.85679837992151,4.129032258064516
