Weight Word Length,Activation Word Length,Rank,Quant SVD BLEU (Range-Based),Iterative Quant SVD BLEU (Range-Based),Compression Ratio
6,6,64,17.13924246266884,17.13924246266884,21.333333333333332
6,6,80,21.56218290408967,21.56218290408967,17.066666666666666
6,6,96,24.681126504766446,24.681126504766446,14.222222222222221
6,6,112,28.150664192280754,28.150664192280754,12.19047619047619
6,6,128,31.31392446293496,31.31392446293496,10.666666666666666
6,6,144,33.54483505252214,33.54483505252214,9.481481481481481
6,6,160,35.24240926169533,35.24240926169533,8.533333333333333
6,6,176,35.07848757004002,35.07848757004002,7.757575757575758
6,6,192,37.36451415977474,37.36451415977474,7.111111111111111
6,6,208,38.52067376003572,38.52067376003572,6.564102564102564
6,6,224,38.67451694462817,38.67451694462817,6.095238095238095
6,6,240,37.82162745876155,37.82162745876155,5.688888888888889
6,6,256,38.99430032466176,38.99430032466176,5.333333333333333
6,6,272,39.91067560544831,39.91067560544831,5.019607843137255
6,6,288,38.01276206268168,38.01276206268168,4.7407407407407405
6,6,304,39.49592999061785,39.49592999061785,4.491228070175438
6,6,320,40.53936368106609,40.53936368106609,4.266666666666667
6,6,336,39.87058504444345,39.87058504444345,4.063492063492063
6,6,352,40.34106583255973,40.34106583255973,3.878787878787879
6,6,368,40.74929228503247,40.74929228503247,3.710144927536232
6,6,384,39.41972406768932,39.41972406768932,3.5555555555555554
6,6,400,40.43406231372299,40.43406231372299,3.4133333333333336
6,6,416,39.80929413939316,39.80929413939316,3.282051282051282
6,6,432,39.24887015903211,39.24887015903211,3.1604938271604937
6,6,448,40.58059975336945,40.58059975336945,3.0476190476190474
6,6,464,40.838941350883964,40.838941350883964,2.942528735632184
6,6,480,39.94973655002788,39.94973655002788,2.8444444444444446
6,6,496,40.581514488845265,40.581514488845265,2.752688172043011
6,6,512,39.94392678064615,39.94392678064615,2.6666666666666665
6,8,64,16.859846773677596,16.859846773677596,21.333333333333332
6,8,80,22.671211325183315,22.671211325183315,17.066666666666666
6,8,96,25.82488018018081,25.82488018018081,14.222222222222221
6,8,112,28.811902562596025,28.811902562596025,12.19047619047619
6,8,128,31.73800789256887,31.73800789256887,10.666666666666666
6,8,144,32.825396804961116,32.825396804961116,9.481481481481481
6,8,160,34.76244721250865,34.76244721250865,8.533333333333333
6,8,176,36.72973768740854,36.72973768740854,7.757575757575758
6,8,192,38.77672722783297,38.77672722783297,7.111111111111111
6,8,208,39.22367862695593,39.22367862695593,6.564102564102564
6,8,224,39.890615870795735,39.890615870795735,6.095238095238095
6,8,240,39.52284119466713,39.52284119466713,5.688888888888889
6,8,256,40.60824521888619,40.60824521888619,5.333333333333333
6,8,272,39.93260201244352,39.93260201244352,5.019607843137255
6,8,288,39.29718885062513,39.29718885062513,4.7407407407407405
6,8,304,39.761987876744506,39.761987876744506,4.491228070175438
6,8,320,40.25864306487909,40.25864306487909,4.266666666666667
6,8,336,39.801278566288865,39.801278566288865,4.063492063492063
6,8,352,39.71598761183059,39.71598761183059,3.878787878787879
6,8,368,40.37221389180047,40.37221389180047,3.710144927536232
6,8,384,39.962116962630276,39.962116962630276,3.5555555555555554
6,8,400,39.662960832603396,39.662960832603396,3.4133333333333336
6,8,416,40.674572358912755,40.674572358912755,3.282051282051282
6,8,432,40.65661858980123,40.65661858980123,3.1604938271604937
6,8,448,40.2833217806578,40.2833217806578,3.0476190476190474
6,8,464,41.186777159733786,41.186777159733786,2.942528735632184
6,8,480,39.94731732963292,39.94731732963292,2.8444444444444446
6,8,496,41.096464638450776,41.096464638450776,2.752688172043011
6,8,512,40.64472610674115,40.64472610674115,2.6666666666666665
6,16,64,17.497847551396767,17.497847551396767,21.333333333333332
6,16,80,21.94763584549265,21.94763584549265,17.066666666666666
6,16,96,25.709710570754986,25.709710570754986,14.222222222222221
6,16,112,28.582170249906497,28.582170249906497,12.19047619047619
6,16,128,32.04969832405888,32.04969832405888,10.666666666666666
6,16,144,33.44697788722874,33.44697788722874,9.481481481481481
6,16,160,35.42882549978311,35.42882549978311,8.533333333333333
6,16,176,36.40106040555436,36.40106040555436,7.757575757575758
6,16,192,38.64186983816442,38.64186983816442,7.111111111111111
6,16,208,39.66445436138065,39.66445436138065,6.564102564102564
6,16,224,39.40168232390349,39.40168232390349,6.095238095238095
6,16,240,40.00210930517315,40.00210930517315,5.688888888888889
6,16,256,40.541375841059335,40.541375841059335,5.333333333333333
6,16,272,41.17605249723135,41.17605249723135,5.019607843137255
6,16,288,38.47654670688316,38.47654670688316,4.7407407407407405
6,16,304,39.9326866008018,39.9326866008018,4.491228070175438
6,16,320,39.67785942361536,39.67785942361536,4.266666666666667
6,16,336,39.91753533320696,39.91753533320696,4.063492063492063
6,16,352,40.58884569560669,40.58884569560669,3.878787878787879
6,16,368,40.776917970894345,40.776917970894345,3.710144927536232
6,16,384,40.575098043779086,40.575098043779086,3.5555555555555554
6,16,400,40.018274468206286,40.018274468206286,3.4133333333333336
6,16,416,41.189286637742896,41.189286637742896,3.282051282051282
6,16,432,40.408786013174506,40.408786013174506,3.1604938271604937
6,16,448,40.86642236310828,40.86642236310828,3.0476190476190474
6,16,464,41.058560762823085,41.058560762823085,2.942528735632184
6,16,480,40.933980573799865,40.933980573799865,2.8444444444444446
6,16,496,41.474999584963896,41.474999584963896,2.752688172043011
6,16,512,41.18881454682222,41.18881454682222,2.6666666666666665
