Layer,Tile Size,Steps,MSE,Memory Footprint (Bytes),Compression Ratio,BLEU Score,Character F-score
5,64,1,0.002551150585835179,1195584.0,15.626132570338578,2.214593032174134,0
5,64,3,0.0022199941837849715,2391168.0,7.813066285169289,3.3402714370585693,0
5,64,5,0.0019419999637951453,3586752.0,5.208710856779526,4.214631960556373,0
5,64,7,0.001701671862974763,4782336.0,3.9065331425846446,5.635610967658951,0
5,64,9,0.001490599902657171,5977920.0,3.1252265140677156,8.226876723978242,0
5,64,11,0.0013046095070118706,7173504.0,2.604355428389763,10.341751897211166,0
5,64,13,0.0011402139886437606,8369088.0,2.232304652905511,16.0459873673767,0
5,64,15,0.0009946161007974297,9564672.0,1.9532665712923223,18.925050767124937,0
5,64,17,0.0008649915301551422,10760256.0,1.7362369522598422,22.0754058456805,0
5,64,19,0.0007496432711680731,11955840.0,1.5626132570338578,25.969458368432164,0
5,64,21,0.0006471191397091994,13151424.0,1.4205575063944162,30.03811766871602,0
5,64,23,0.0005560094820490727,14347008.0,1.3021777141948816,32.942818680662256,0
5,64,25,0.00047542244525781524,15542592.0,1.2020101977183522,35.09076197396219,0
5,64,27,0.0004042926011607051,16738176.0,1.1161523264527555,37.9698518302166,0
5,64,29,0.00034180504250495386,17933760.0,1.0417421713559052,38.34298720278038,0
5,64,31,0.00028706515392210957,19129344.0,0.9766332856461611,39.43270940898486,0
5,64,33,0.0002393558679614216,20324928.0,0.9191842688434458,39.981724459121864,0
5,64,35,0.00019799201497031996,21520512.0,0.8681184761299211,40.39466300101352,0
5,64,37,0.0001625044460524805,22716096.0,0.8224280300178199,39.98314623475998,0
5,64,39,0.00013221606301764646,23911680.0,0.7813066285169289,39.69666500535095,0
