Word Length,BLEU Score (Range-Based),BLEU Score (Mean-Based),BLEU Score (Log2-Based),BLEU Score (Loss-Aware),Compression Ratio
2,0.6467380789304411,23.628670233972063,0.631736710642138,1.705845138633384,16.0
3,27.849421397990625,26.132917516370146,14.817974902568986,14.649465331137545,10.666666666666666
4,31.619351066699252,25.294361975260575,30.382279978934484,30.87270783559549,8.0
5,31.10916353802547,25.198008310435615,31.205862530910984,30.4895658407954,6.4
6,30.654896348592324,24.91271455806018,31.027745715565185,30.951757738141346,5.333333333333333
7,31.62060192230143,24.902943936982382,30.941072653341017,30.826857117941266,4.571428571428571
8,31.020223912123758,24.89710708109412,31.67427946386987,31.13900073835325,4.0
16,31.295117829679363,24.875857749548796,31.295117829679363,31.295117829679363,2.0
