Word Length,BLEU Score (Range-Based),BLEU Score (Mean-Based),BLEU Score (Log2-Based),BLEU Score (Loss-Aware),Compression Ratio
2,2.576048271601103,31.8656290636702,1.768731083213129,1.2847151054424446,16.0
3,34.68692065792945,32.3005888807621,13.988626914687764,38.71650803983639,10.666666666666666
4,38.820477167601695,33.641503531485064,39.6869736903355,40.91072037540973,8.0
5,40.11721399803846,33.369290094879986,40.653639561878165,40.67789542485421,6.4
6,41.145456292294554,33.33715287309843,40.95703173994255,41.04173486575948,5.333333333333333
7,41.03924265807872,33.14629334475817,40.781795209979904,41.44465666007607,4.571428571428571
8,41.136479513103815,33.26164160198516,41.37120627096295,41.25997568662591,4.0
16,41.337328250540224,33.28069340409134,41.337328250540224,41.3915217058534,2.0
