Word Length,Fraction Length,Symmetric,Round Mode,BLEU Score
8,7,True,nearest,39.03597302336057
8,7,True,stochastic,38.398519390518736
8,7,False,nearest,39.33619098728983
8,7,False,stochastic,39.13667830961929
8,6,True,nearest,38.161832481203575
8,6,True,stochastic,39.68657099622118
8,6,False,nearest,38.161832481203575
8,6,False,stochastic,38.27502269523742
8,5,True,nearest,39.535809857107154
8,5,True,stochastic,38.524417312897135
8,5,False,nearest,39.592654034591185
8,5,False,stochastic,38.811544390813815
8,4,True,nearest,39.13545439430108
8,4,True,stochastic,37.56241185574965
8,4,False,nearest,39.06783729245367
8,4,False,stochastic,36.8426582054627
8,3,True,nearest,21.93446302606657
8,3,True,stochastic,6.08463621569077
8,3,False,nearest,21.93446302606657
8,3,False,stochastic,9.326740329077563
8,2,True,nearest,1.9764806519275886
8,2,True,stochastic,3.83493947875119e-154
8,2,False,nearest,1.9764806519275886
8,2,False,stochastic,4.985152521931311e-230
8,1,True,nearest,1.4868554866171844
8,1,True,stochastic,3.52679505485687e-154
8,1,False,nearest,1.4868554866171844
8,1,False,stochastic,3.372235270690724e-154
16,15,True,nearest,38.7589370693997
16,15,True,stochastic,38.7589370693997
16,15,False,nearest,38.7589370693997
16,15,False,stochastic,38.62847869617633
16,14,True,nearest,38.25961739870954
16,14,True,stochastic,38.323063469806826
16,14,False,nearest,38.25961739870954
16,14,False,stochastic,38.323063469806826
16,13,True,nearest,39.56538000280504
16,13,True,stochastic,39.56538000280504
16,13,False,nearest,39.56538000280504
16,13,False,stochastic,39.56538000280504
16,12,True,nearest,39.46357093829164
16,12,True,stochastic,39.46172398106732
16,12,False,nearest,39.46357093829164
16,12,False,stochastic,39.46172398106732
16,11,True,nearest,40.612557307577845
16,11,True,stochastic,40.612557307577845
16,11,False,nearest,40.612557307577845
16,11,False,stochastic,40.612557307577845
16,10,True,nearest,40.92747129371486
16,10,True,stochastic,40.98213426185948
16,10,False,nearest,40.92747129371486
16,10,False,stochastic,40.738494700224386
16,9,True,nearest,41.49482312364643
16,9,True,stochastic,41.11143776248386
16,9,False,nearest,41.49482312364643
16,9,False,stochastic,41.06059895564543
16,8,True,nearest,41.193830336956964
16,8,True,stochastic,41.503986007959234
16,8,False,nearest,41.193830336956964
16,8,False,stochastic,41.54059889302661
16,7,True,nearest,40.919144845132756
16,7,True,stochastic,41.046341899846595
16,7,False,nearest,40.919144845132756
16,7,False,stochastic,40.83266862083639
16,6,True,nearest,40.44699696056038
16,6,True,stochastic,40.731260593387425
16,6,False,nearest,40.44699696056038
16,6,False,stochastic,40.192820102812064
32,31,True,nearest,38.7589370693997
32,31,True,stochastic,38.7589370693997
32,31,False,nearest,38.7589370693997
32,31,False,stochastic,38.7589370693997
32,30,True,nearest,38.323063469806826
32,30,True,stochastic,38.323063469806826
32,30,False,nearest,38.323063469806826
32,30,False,stochastic,38.323063469806826
32,29,True,nearest,39.56538000280504
32,29,True,stochastic,39.56538000280504
32,29,False,nearest,39.56538000280504
32,29,False,stochastic,39.56538000280504
32,28,True,nearest,39.46172398106732
32,28,True,stochastic,39.46172398106732
32,28,False,nearest,39.46172398106732
32,28,False,stochastic,39.46172398106732
32,27,True,nearest,40.612557307577845
32,27,True,stochastic,40.612557307577845
32,27,False,nearest,40.612557307577845
32,27,False,stochastic,40.612557307577845
32,26,True,nearest,40.521187477383634
32,26,True,stochastic,40.521187477383634
32,26,False,nearest,40.521187477383634
32,26,False,stochastic,40.521187477383634
32,25,True,nearest,41.337328250540224
32,25,True,stochastic,41.337328250540224
32,25,False,nearest,41.337328250540224
32,25,False,stochastic,41.337328250540224
32,24,True,nearest,41.337328250540224
32,24,True,stochastic,41.337328250540224
32,24,False,nearest,41.337328250540224
32,24,False,stochastic,41.337328250540224
32,23,True,nearest,41.337328250540224
32,23,True,stochastic,41.337328250540224
32,23,False,nearest,41.337328250540224
32,23,False,stochastic,41.337328250540224
32,22,True,nearest,41.337328250540224
32,22,True,stochastic,41.337328250540224
32,22,False,nearest,41.337328250540224
32,22,False,stochastic,41.337328250540224
