Word Length,BLEU Score (Range-Based),BLEU Score (Mean-Based),BLEU Score (Log2-Based),BLEU Score (Loss-Aware),Compression Ratio
2,1.6835944265602512,26.9884238925169,1.7256994935444983,1.512720454921146,16.0
3,26.88010195672958,28.7449515985291,11.23451150253784,36.70442494939527,10.666666666666666
4,36.68591354025331,29.138700868537732,36.72713271775097,38.31434414499829,8.0
5,38.59959422872041,28.647103600672295,38.163747449172746,39.08754357402507,6.4
6,39.736694946904805,28.953873165479365,40.60057153480618,39.03850129676355,5.333333333333333
7,39.293390779883886,29.257589803953078,38.740884016237146,39.54114130747198,4.571428571428571
8,39.714562698711234,28.919579783577582,38.92030999596579,39.12151668604789,4.0
16,39.227390335920674,29.19532323005659,38.74160493585166,39.036007307687996,2.0
