Layer,Tile Size,Steps,MSE,Memory Footprint (Bytes),Compression Ratio,BLEU Score,Character F-score
5,64,6,0.0024614721381415925,1207872.0,15.626132570338578,2.2474543821463597,0
5,64,12,0.0021034993114881217,2415744.0,7.813066285169289,1.868999689073883,0
5,64,18,0.0018168401438742876,3623616.0,5.208710856779526,2.3439625585276103,0
5,64,24,0.0015782471552180748,4831488.0,3.9065331425846446,1.6598248440539909,0
5,64,30,0.001373824857485791,6039360.0,3.1252265140677156,2.1298668582014515,0
5,64,36,0.0011978634671928983,7247232.0,2.604355428389763,2.2296600625593266,0
5,64,42,0.0010452711721882224,8455104.0,2.232304652905511,4.706694202524375,0
5,64,48,0.0009126278552381942,9662976.0,1.9532665712923223,4.739117479416242,0
5,64,54,0.0007966179400682449,10870848.0,1.7362369522598422,6.545662071679319,0
5,64,60,0.0006951941953351101,12078720.0,1.5626132570338578,12.223879344608468,0
5,64,66,0.0006063693047811588,13286592.0,1.4205575063944162,18.385360116471645,0
5,64,72,0.0005284599465085194,14494464.0,1.3021777141948816,23.423291778453965,0
5,64,78,0.00046014139176501584,15702336.0,1.2020101977183522,28.658715500542403,0
5,64,84,0.0004002483425817142,16910208.0,1.1161523264527555,31.142866538628745,0
5,64,90,0.00034799043108553934,18118080.0,1.0417421713559052,35.06978122145342,0
5,64,96,0.0003021888017732029,19325952.0,0.9766332856461611,38.70148588152117,0
5,64,102,0.0002621776608672614,20533824.0,0.9191842688434458,37.00218723655182,0
5,64,108,0.00022724865508886674,21741696.0,0.8681184761299211,38.90312143233367,0
5,64,114,0.0001969243045702266,22949568.0,0.8224280300178199,39.694966748002344,0
5,64,120,0.00017058543744497,24157440.0,0.7813066285169289,40.34320904806448,0
