Tile Size,Steps,MSE,MSE Check,Memory Footprint (Bytes),Compression Ratio,BLEU Score,Character F-score
32,1,0.0027165445242947803,0.0027165445499122143,793344.0,23.790900290416264,1.6246558470063919,0.19049487538413745
32,2,0.0024794299206026458,0.00023711552057648078,1586688.0,11.895450145208132,1.639173300186781,0.18966036228805755
32,3,0.0022700541800304563,0.00020937659428454936,2380032.0,7.930300096805421,1.6239900438819301,0.18704739816066712
32,4,0.0020792069416302184,0.0001908478758802327,3173376.0,5.947725072604066,3.8191037309087803,0.2129285399700221
32,5,0.0019047874775045177,0.00017441993986722082,3966720.0,4.758180058083252,4.909157762663761,0.2192089042378369
32,6,0.0017442898280629986,0.00016049815894803032,4760064.0,3.9651500484027107,8.80420918742075,0.23478439741955312
32,7,0.001596470202381776,0.00014782005261319378,5553408.0,3.3987000414880377,9.492793855712488,0.2391656098084338
32,8,0.0014594553792524796,0.00013701517309527844,6346752.0,2.973862536302033,13.184388280988774,0.24791501519536027
32,9,0.0013319455986030941,0.00012751008034683764,7140096.0,2.643433365601807,14.632597183765938,0.24926883119325166
32,10,0.0012134190722576932,0.00011852674530625033,7933440.0,2.379090029041626,16.457531805317966,0.2523798692458174
32,11,0.001103065455746825,0.0001103537688322831,8726784.0,2.1628091173105695,18.55824904157723,0.25326529983051865
32,12,0.0010002669634445738,0.00010279856966614413,9520128.0,1.9825750242013553,20.221984752052336,0.25445865460183165
32,13,0.0009045374013301929,9.572962153470144e-05,10313472.0,1.8300692531089433,22.43545183862401,0.2555361525234823
32,14,0.0008152198678696246,8.93175359427308e-05,11106816.0,1.6993500207440189,24.60184516754666,0.25576169518532993
32,15,0.0007319648930206313,8.325497158997071e-05,11900160.0,1.5860600193610843,27.644403682000533,0.25712222452353645
32,16,0.0006544481721941035,7.751663360977545e-05,12693504.0,1.4869312681510165,30.094261741695643,0.25931116234693513
32,17,0.0005823592924798504,7.208872436118934e-05,13486848.0,1.3994647229656625,32.11777577955492,0.2599733921115256
32,18,0.0005153624003355617,6.699670666421298e-05,14280192.0,1.3217166828009035,35.411254441447,0.26104997602697727
32,19,0.0004532037592070992,6.215839312062599e-05,15073536.0,1.2521526468640138,35.27671524301329,0.26110021796215077
32,20,0.000395776369430223,5.742708587301119e-05,15866880.0,1.189545014520813,36.41846601072567,0.2620595745899714
32,21,0.0003425732142261495,5.320284799381625e-05,16660224.0,1.132900013829346,38.40086522355557,0.2639060288868709
32,22,0.00029359353517577347,4.897933952937213e-05,17453568.0,1.0814045586552847,38.92175413044679,0.26394252707332866
32,23,0.00024861368904775344,4.4979497639966816e-05,18246912.0,1.0343869691485332,39.6126599678758,0.26496262530685194
32,24,0.0002073865886226637,4.1226736357202753e-05,19040256.0,0.9912875121006777,39.37136494620214,0.2649194925451647
32,25,0.0001697755235904689,3.7610670005960856e-05,19833600.0,0.9516360116166506,41.6160253574819,0.26578736563598065
64,1,0.002665262327354867,0.0026652622812738023,394944.0,47.78998541565387,1.715884859289583,0.18815525822558485
64,3,0.00239804026720473,0.0002672241098480299,1184832.0,15.929995138551288,1.5708622832003094,0.187864842368812
64,5,0.002172952958365689,0.0002250887870710964,1974720.0,9.557997083130774,2.392847163487296,0.2010004518634944
64,7,0.0019739109931530643,0.0001990428427234292,2764608.0,6.827140773664838,4.0151630059568,0.208080258055518
64,9,0.0017943149182428897,0.00017959694863141826,3554496.0,5.309998379517096,6.363766879382557,0.22339266538579405
64,11,0.0016306821741333504,0.000163633179909084,4344384.0,4.344544128695806,10.073662524960778,0.23638107338111247
64,13,0.0014807865829122118,0.00014989579600902894,5134272.0,3.6761527242810663,11.495747663757605,0.24209207404603486
64,15,0.0013430658655124716,0.00013772074453299865,5924160.0,3.1859990277102574,11.045364520706356,0.2452151864182853
64,17,0.001216235998981574,0.000126829529714693,6714048.0,2.8111756126855214,14.697555434728644,0.2495609028460148
64,19,0.0010987928642407496,0.00011744282892323099,7503936.0,2.515262390297572,16.125207656588994,0.2525626334487853
64,21,0.0009898228347537952,0.00010896963431150652,8293824.0,2.2757135912216127,18.532498016969324,0.2534893755569051
64,23,0.0008887608391129712,0.00010106153664916444,9083712.0,2.077825452854516,20.409599263623996,0.25569827047470095
64,25,0.0007951992193587406,9.35610417703477e-05,9873600.0,1.9115994166261545,22.574086422073428,0.25507465096845716
64,27,0.000708514428727843,8.668405522864002e-05,10663488.0,1.769999459839032,23.942726842230037,0.25616127973121783
64,29,0.0006282741076120146,8.023961527214851e-05,11453376.0,1.6479305315742712,25.371308895149745,0.2574851624491346
64,31,0.000554274413426962,7.399905977460246e-05,12243264.0,1.5416124327630278,28.932902027847952,0.25918037356989
64,33,0.0004860988711546573,6.817514925690678e-05,13033152.0,1.4481813762319353,31.071997102041582,0.2597193745499499
64,35,0.00042345850495924725,6.264078547246754e-05,13823040.0,1.3654281547329676,35.537113028533575,0.2606207045363278
64,37,0.0003658811611254957,5.7577909198395595e-05,14612928.0,1.2916212274501044,35.382894593558945,0.2636466276270376
64,39,0.0003132199893419359,5.266164104493024e-05,15402816.0,1.2253842414270222,36.35685294474808,0.2642546121388418
64,41,0.0002654150722681455,4.7805246746672005e-05,16192704.0,1.1656094003818016,37.14722228379985,0.26509699006025983
64,43,0.0002221530708084174,4.326216488455733e-05,16982592.0,1.111395009666369,38.46513779597483,0.26549299250346453
64,45,0.00018320542905788292,3.8947716348047834e-05,17772480.0,1.0619996759034191,39.055931678771444,0.2655227196619578
64,47,0.00014838001187437536,3.4825352789387885e-05,18562368.0,1.016808200333061,40.2076200053972,0.26577525151234255
