Word Length,BLEU Score (Range-Based),BLEU Score (Mean-Based),BLEU Score (Log2-Based),BLEU Score (Loss-Aware),Compression Ratio
2,1.8162812559418262,11.707723392311502,1.6744351340826227,1.9246033756043026,16.0
3,12.733964189536861,13.69108121590681,5.871954921894839,16.23938581512345,10.666666666666666
4,17.27822158483368,12.66172114934049,15.199879359392266,17.470903347835034,8.0
5,17.504898126140027,12.597018904943546,17.706793345703826,17.47719423946642,6.4
6,18.137209265183944,12.943288405050371,17.333884848135593,17.39171182986218,5.333333333333333
7,17.94102160589502,12.957300520200102,17.82831202395284,17.77444227887284,4.571428571428571
8,17.98994700498894,12.985373913899151,17.905026687354017,18.1196707449316,4.0
16,17.984446814093545,12.906913401802258,18.25817981067989,18.083143605166498,2.0
