Word Length,Fraction Length,Rank,BLEU Score (Quant SVD),BLEU Score (Iterative Quant SVD),Compression Ratio
8,4,100,1.895870440432439,1.7946729688849021,10.24
8,4,200,1.782461281956309,1.8080301819826843,5.12
