Word Length,Fraction Length,Symmetric,Round Mode,BLEU Score
4,3,True,nearest,14.64823917137387
4,3,True,stochastic,17.868253100604445
4,3,False,nearest,16.12132163927481
4,3,False,stochastic,13.406978869352331
4,2,True,nearest,1.7657994853073269
4,2,True,stochastic,3.75985668333605e-154
4,2,False,nearest,1.742351552735498
4,2,False,stochastic,4.113791230469775e-154
4,1,True,nearest,1.4868554866171844
4,1,True,stochastic,2.8952663871933016e-154
4,1,False,nearest,1.4868554866171844
4,1,False,stochastic,3.729323387841948e-154
5,4,True,nearest,34.29473709027254
5,4,True,stochastic,32.92480879041923
5,4,False,nearest,35.62249025470157
5,4,False,stochastic,34.42189110568313
5,3,True,nearest,20.725579140685106
5,3,True,stochastic,1.2426920350485893
5,3,False,nearest,20.26526842987906
5,3,False,stochastic,0.6187174954256593
5,2,True,nearest,1.6213126613416187
5,2,True,stochastic,3.338409129206802e-154
5,2,False,nearest,1.6212347156809885
5,2,False,stochastic,4.651244775992691e-154
5,1,True,nearest,1.4868554866171844
5,1,True,stochastic,3.381721511301509e-154
5,1,False,nearest,1.4868554866171844
5,1,False,stochastic,2.934379164847687e-154
6,5,True,nearest,36.58118530620124
6,5,True,stochastic,37.43434837217903
6,5,False,nearest,36.95333465987433
6,5,False,stochastic,37.484898943264184
6,4,True,nearest,36.64093901769
6,4,True,stochastic,36.332002166602926
6,4,False,nearest,36.593253006276846
6,4,False,stochastic,32.553323094893976
6,3,True,nearest,21.025037432180316
6,3,True,stochastic,1.6576176800968097
6,3,False,nearest,20.656812291621605
6,3,False,stochastic,1.757947670972679
6,2,True,nearest,1.4125517638699494
6,2,True,stochastic,4.9098227995735286e-154
6,2,False,nearest,1.4125517638699494
6,2,False,stochastic,4.4103644504626534e-154
6,1,True,nearest,1.4868554866171844
6,1,True,stochastic,3.46004371130953e-154
6,1,False,nearest,1.4868554866171844
6,1,False,stochastic,3.3614162195898675e-154
7,6,True,nearest,39.13501200642959
7,6,True,stochastic,38.78792022628164
7,6,False,nearest,39.49351274714322
7,6,False,stochastic,38.68141729970012
7,5,True,nearest,37.69375541203966
7,5,True,stochastic,37.411683987735486
7,5,False,nearest,37.33989649070853
7,5,False,stochastic,37.74012859796113
7,4,True,nearest,38.171157875523136
7,4,True,stochastic,35.48574894279468
7,4,False,nearest,37.8623028859134
7,4,False,stochastic,37.04325553043792
7,3,True,nearest,22.81861141322873
7,3,True,stochastic,8.28378194722003
7,3,False,nearest,22.81861141322873
7,3,False,stochastic,4.7724331178881645
7,2,True,nearest,1.4515223332996845
7,2,True,stochastic,3.596307993665111e-154
7,2,False,nearest,1.4515223332996845
7,2,False,stochastic,4.0185236164107014e-154
7,1,True,nearest,1.4868554866171844
7,1,True,stochastic,4.609556935276579e-154
7,1,False,nearest,1.4868554866171844
7,1,False,stochastic,4.250002762913776e-230
8,7,True,nearest,39.03597302336057
8,7,True,stochastic,38.48089081494015
8,7,False,nearest,39.33619098728983
8,7,False,stochastic,39.04225972318765
8,6,True,nearest,38.161832481203575
8,6,True,stochastic,39.12940905768499
8,6,False,nearest,38.161832481203575
8,6,False,stochastic,37.81695348460059
8,5,True,nearest,39.535809857107154
8,5,True,stochastic,39.249114027846005
8,5,False,nearest,39.592654034591185
8,5,False,stochastic,37.70260719953981
8,4,True,nearest,39.13545439430108
8,4,True,stochastic,36.12110845506404
8,4,False,nearest,39.06783729245367
8,4,False,stochastic,36.54835093806234
8,3,True,nearest,21.93446302606657
8,3,True,stochastic,10.965145626959941
8,3,False,nearest,21.93446302606657
8,3,False,stochastic,12.250273219824265
8,2,True,nearest,1.9764806519275886
8,2,True,stochastic,5.131288051109092e-154
8,2,False,nearest,1.9764806519275886
8,2,False,stochastic,5.890989707979306e-154
8,1,True,nearest,1.4868554866171844
8,1,True,stochastic,4.1152637463267926e-154
8,1,False,nearest,1.4868554866171844
8,1,False,stochastic,3.272675922394285e-154
