Word Length,BLEU Score (Range-Based),BLEU Score (Mean-Based),BLEU Score (Log2-Based),BLEU Score (Loss-Aware),Compression Ratio
2,0.306279065365859,19.40843800237894,0.30651103429194754,1.2104789952086275,16.0
3,18.27918973653796,20.223883436717742,4.041834376009815,10.280248863977421,10.666666666666666
4,25.86996370392882,20.292793537725988,25.00218147800514,26.671360539979883,8.0
5,27.114536762253522,20.21540319991349,27.276513838721637,27.86287534185864,6.4
6,27.497870551528585,19.996847806194033,27.26758067188284,27.327905398938434,5.333333333333333
7,27.624672681406476,20.11258237332928,27.531429632072584,28.10841547783798,4.571428571428571
8,27.81704997529724,20.134185274543768,27.54417517004113,27.86146081540664,4.0
16,27.79222995968844,20.134185274543768,27.81702436739183,27.79222995968844,2.0
