Layer,Tile Size,Steps,MSE,Memory Footprint (Bytes),Compression Ratio,BLEU Score,Character F-score
5,64,2,0.0025902089352409043,1189440.0,15.868280871670702,4.072218367729627,0
5,64,4,0.00227233781091248,2378880.0,7.934140435835351,3.2843014590332884,0
5,64,6,0.00200046255486086,3568320.0,5.289426957223568,5.474789074360082,0
5,64,8,0.0017617648700252175,4757760.0,3.9670702179176756,12.791639531315347,0
5,64,10,0.0015497532634374995,5947200.0,3.1736561743341403,14.38712625633182,0
5,64,12,0.0013606413461578388,7136640.0,2.644713478611784,19.2358359549966,0
5,64,14,0.001191620259002472,8326080.0,2.266897267381529,21.997112501996916,0
5,64,16,0.0010403056512586772,9515520.0,1.9835351089588378,25.890101664645442,0
5,64,18,0.0009044367858829597,10704960.0,1.7631423190745226,29.194427158438025,0
5,64,20,0.0007824993129664412,11894400.0,1.5868280871670701,31.255994999473778,0
5,64,22,0.0006731144967488945,13083840.0,1.4425709883337001,36.181952080944534,0
5,64,24,0.000575307582039386,14273280.0,1.322356739305892,36.856131735014415,0
5,64,26,0.00048815955718358356,15462720.0,1.2206369901285155,39.95098610865105,0
5,64,28,0.00041088661237154156,16652160.0,1.1334486336907645,39.74509112094179,0
5,64,30,0.00034282193034111214,17841600.0,1.0578853914447135,40.356248243753036,0
5,64,32,0.0002831599146399337,19031040.0,0.9917675544794189,40.657989617870165,0
5,64,34,0.00023116192945356792,20220480.0,0.9334282865688648,40.89273252290797,0
5,64,36,0.00018620112678036094,21409920.0,0.8815711595372613,40.44677720367639,0
5,64,38,0.00014771610828271756,22599360.0,0.8351726774563527,40.704282779191495,0
5,64,40,0.00011503771141481896,23788800.0,0.7934140435835351,40.85342665452873,0
