Layer,Tile Size,Steps,MSE,Memory Footprint (Bytes),Compression Ratio,BLEU Score,Character F-score
5,64,1,0.0026521749095991254,927168.0,20.357009732863947,2.465652335074526,0
5,64,3,0.0023839539499022067,1854336.0,10.178504866431973,2.098770576284174,0
5,64,5,0.0021541114741315446,2781504.0,6.785669910954649,2.156392590570404,0
5,64,7,0.0019514752396692832,3708672.0,5.089252433215987,4.977755547463648,0
5,64,9,0.0017703870738235612,4635840.0,4.07140194657279,5.817704958655032,0
5,64,11,0.0016072057575608294,5563008.0,3.3928349554773245,11.179647499397122,0
5,64,13,0.0014600211191767205,6490176.0,2.9081442475519923,14.798181008266905,0
5,64,15,0.0013269529833147924,7417344.0,2.5446262166079934,17.527352666775297,0
5,64,17,0.0012061281401353578,8344512.0,2.2618899703182165,19.351650332348317,0
5,64,19,0.001096291826494659,9271680.0,2.035700973286395,22.46883087983165,0
5,64,21,0.0009963679961704959,10198848.0,1.850637248442177,24.55308304226759,0
5,64,23,0.0009057042576993505,11126016.0,1.6964174777386622,24.122013911170466,0
5,64,25,0.0008234270014024029,12053184.0,1.565923825604919,24.903573216908057,0
5,64,27,0.000748868032436197,12980352.0,1.4540721237759962,26.79175282796417,0
5,64,29,0.0006817567627876997,13907520.0,1.3571339821909298,27.692077364584495,0
5,64,31,0.0006214449943702979,14834688.0,1.2723131083039967,27.50066322461161,0
5,64,33,0.0005672566427771623,15761856.0,1.1974711607567028,29.178521734667683,0
5,64,35,0.0005187131367468586,16689024.0,1.1309449851591082,31.21696266816418,0
5,64,37,0.00047538284949647885,17616192.0,1.0714215648875762,31.03909868228742,0
5,64,39,0.00043683476057291654,18543360.0,1.0178504866431974,31.92847007184766,0
