NZr,NZc,Tr,Tc,Accuracy (%),MSE,Nsteps,Compressed Memory Footprint (byte),Nops,Ncycles,CTC (Ops/byte),CP (GOps/s),AttPerf (GOps/s),Execution Time (s)
32,80,2,2,81.56565656565657,0.005165302641367614,21,51632.0,40788,1680,0.7634770889487871,9.71142857142857,7.6347708894878705,5.3424e-06
32,88,2,2,81.81818181818183,0.005490426193946721,19,47344.0,39628,1672,0.806496255291436,9.480382775119617,8.06496255291436,4.913600000000001e-06
32,96,2,2,81.56565656565657,0.004077314767690345,31,91324.0,66684,2976,0.7161390094076207,8.962903225806452,7.161390094076206,9.3116e-06
32,12,2,8,82.57575757575758,0.0059447678179961865,28,47320.0,39024,896,0.794591953086822,17.42142857142857,7.94591953086822,4.9112e-06
40,80,2,2,81.81818181818183,0.005303387054596978,18,45368.0,37704,1440,0.7994910941475827,10.473333333333334,7.994910941475827,4.716e-06
40,88,2,2,82.07070707070707,0.005494161055561111,17,43076.0,37956,1496,0.8459481144691093,10.148663101604278,8.459481144691093,4.4868e-06
40,96,2,2,81.81818181818183,0.005118860045831571,19,52380.0,44492,1824,0.8213099017942849,9.757017543859648,8.213099017942849,5.4171999999999996e-06
40,12,2,8,82.57575757575758,0.005941933365122125,25,44015.0,38372,1000,0.8376885628834021,15.348799999999999,8.376885628834021,4.5807e-06
48,80,2,2,82.82828282828282,0.005258122941128677,17,43076.0,37956,1360,0.8459481144691093,11.163529411764706,8.459481144691093,4.4868e-06
48,88,2,2,81.81818181818183,0.005421643190385494,16,41252.0,37952,1408,0.8817024440107797,10.781818181818181,8.817024440107797,4.3044e-06
48,96,2,2,81.56565656565657,0.005157763298254506,17,49496.0,42308,1632,0.8249103104039931,10.369607843137254,8.24910310403993,5.128800000000001e-06
48,12,2,8,82.82828282828282,0.00598647103084306,23,41655.0,38492,1104,0.885953000207149,13.946376811594204,8.859530002071489,4.3447e-06
56,80,2,2,81.81818181818183,0.0048295904974884115,18,52364.0,42312,1440,0.7812984710835364,11.753333333333334,7.812984710835364,5.4156e-06
56,88,2,2,82.07070707070707,0.005100346475798214,17,47152.0,42308,1496,0.86441647597254,11.312299465240642,8.6441647597254,4.894399999999999e-06
56,96,2,2,82.07070707070707,0.005025453305822554,17,50948.0,44484,1632,0.8434584755403868,10.90294117647059,8.434584755403868,5.274e-06
56,12,2,8,81.56565656565657,0.005626849933095785,24,50964.0,43104,1344,0.817044506785958,12.828571428571427,8.17044506785958,5.275599999999999e-06
64,80,2,2,81.81818181818183,0.005044938351533114,17,49496.0,42308,1360,0.8249103104039931,12.443529411764706,8.24910310403993,5.128800000000001e-06
64,88,2,2,81.56565656565657,0.004423119861981927,21,64608.0,54228,1848,0.8166867469879519,11.737662337662337,8.166867469879518,6.64e-06
64,96,2,2,82.57575757575758,0.0048198672908502434,18,57488.0,49224,1728,0.8303643724696357,11.394444444444444,8.303643724696357,5.927999999999999e-06
64,12,2,8,81.56565656565657,0.004976010291153263,29,73024.0,55156,1856,0.7372219846022241,11.88706896551724,7.372219846022241,7.4816000000000005e-06
16,80,4,2,81.81818181818183,0.004061275584991915,36,97248.0,67728,2880,0.6838449111470113,9.406666666666666,6.838449111470113,9.904e-06
16,88,4,2,81.81818181818183,0.004997148736475902,26,67760.0,53096,2288,0.7634000460087417,9.282517482517484,7.6340004600874165,6.9552e-06
16,96,4,2,82.82828282828282,0.004910246481320359,26,73216.0,56424,2496,0.7522397610921502,9.042307692307691,7.522397610921502,7.5008e-06
16,12,4,8,81.56565656565657,0.005428909532489824,41,72473.0,55716,656,0.7502322763078166,33.97317073170731,7.502322763078166,7.4265e-06
20,80,4,2,83.58585858585859,0.005202100372836081,21,52064.0,43476,1680,0.8072638146167558,10.351428571428572,8.072638146167558,5.385600000000001e-06
20,88,4,2,81.56565656565657,0.005937645685377872,16,39776.0,35904,1408,0.8637413394919169,10.2,8.637413394919168,4.156800000000001e-06
20,96,4,2,81.56565656565657,0.00558288914576237,18,48864.0,42312,1728,0.8352811118130132,9.794444444444444,8.352811118130132,5.0656e-06
20,12,4,8,81.56565656565657,0.004908684321602361,42,82437.0,62376,840,0.7405525412862554,29.70285714285714,7.405525412862554,8.4229e-06
24,80,4,2,82.07070707070707,0.00578284853162629,15,37680.0,33852,1200,0.8576205918119173,11.284,8.576205918119173,3.9472e-06
24,88,4,2,81.81818181818183,0.005728745730788271,15,39984.0,35772,1320,0.8562811183454615,10.84,8.562811183454615,4.1776000000000005e-06
24,96,4,2,81.56565656565657,0.004804087906077071,21,62240.0,51540,2016,0.8049100449775113,10.226190476190474,8.049100449775112,6.4032e-06
