NZr,NZc,Tr,Tc,Accuracy (%),MSE,Nsteps,Compressed Memory Footprint (byte),Nops,Ncycles,CTC (Ops/byte),CP (GOps/s),AttPerf (GOps/s),Execution Time (s)
32,14,2,8,81.56565656565657,0.005981909573200678,25,44015.0,38372,800,0.8376885628834021,19.186,8.376885628834021,4.5807e-06
32,16,2,8,81.56565656565657,0.005119707210920857,30,63579.0,49272,960,0.7537287176270824,20.53,7.537287176270824,6.5371e-06
32,18,2,8,81.56565656565657,0.004720380228750906,29,73805.0,51444,928,0.6805031945712131,22.174137931034483,6.805031945712131,7.5597e-06
32,20,2,8,81.56565656565657,0.00469823737941371,28,72101.0,53360,896,0.7221252351372931,23.821428571428573,7.2212523513729305,7.3893000000000006e-06
40,14,2,8,82.07070707070707,0.005106651322439918,31,61258.0,50812,1240,0.8059000793021411,16.390967741935484,8.059000793021411,6.305e-06
40,16,2,8,82.32323232323232,0.0054905637538569,22,49246.0,39768,880,0.7791841373094557,18.076363636363634,7.791841373094557,5.1038e-06
40,18,2,8,81.56565656565657,0.00550886860014829,20,46577.0,38992,800,0.8061361615911017,19.496,8.061361615911016,4.8369e-06
40,20,2,8,81.56565656565657,0.00510166941567119,21,54712.0,43476,840,0.7694322525838879,20.702857142857145,7.69432252583888,5.650399999999999e-06
48,14,2,8,83.08080808080808,0.005836743294792231,20,44999.0,36432,960,0.7786112713983458,15.180000000000001,7.786112713983458,4.679100000000001e-06
48,16,2,8,82.82828282828282,0.004956682113711391,25,61169.0,47972,1200,0.761931989644383,15.990666666666666,7.61931989644383,6.296100000000001e-06
48,18,2,8,82.32323232323232,0.005929612604058186,16,36183.0,33856,768,0.8915339038841343,17.633333333333336,8.915339038841344,3.7974999999999996e-06
48,20,2,8,83.83838383838383,0.005419437152030695,18,44793.0,40008,864,0.8588172158420092,18.522222222222222,8.588172158420091,4.658500000000001e-06
56,14,2,8,81.56565656565657,0.005620382149288517,21,49314.0,40788,1176,0.7981058975462764,13.873469387755101,7.981058975462764,5.1106e-06
56,16,2,8,82.32323232323232,0.00481053547746381,24,65441.0,49248,1344,0.7324974342956584,14.657142857142858,7.324974342956584,6.7233000000000005e-06
56,18,2,8,81.81818181818183,0.005407725440724527,18,46863.0,40008,1008,0.8222793135340664,15.876190476190475,8.222793135340664,4.8655e-06
56,20,2,8,82.07070707070707,0.005709071559972391,16,38721.0,37952,896,0.9367857231012268,16.942857142857143,9.367857231012268,4.0513e-06
64,14,2,8,81.56565656565657,0.005962236595803581,19,43999.0,39628,1216,0.8654102334519884,13.035526315789474,8.654102334519884,4.579100000000001e-06
64,16,2,8,82.57575757575758,0.005697832455721237,18,44793.0,40008,1152,0.8588172158420092,13.891666666666666,8.588172158420091,4.658500000000001e-06
64,18,2,8,82.32323232323232,0.00551784123619738,17,46430.0,40132,1088,0.832234249927419,14.754411764705882,8.32234249927419,4.8222e-06
64,20,2,8,81.81818181818183,0.005507104893345901,16,43287.0,40000,1024,0.887331129794361,15.625,8.87331129794361,4.5079e-06
16,14,4,8,82.07070707070707,0.00553704729071469,34,65245.0,51080,544,0.7619672718051226,37.55882352941176,7.619672718051226,6.7037e-06
16,16,4,8,81.81818181818183,0.005244925805579682,33,69503.0,53892,528,0.7559015358720808,40.82727272727273,7.559015358720807,7.129500000000001e-06
16,18,4,8,82.32323232323232,0.005292876985932573,29,65067.0,51444,522,0.7694401651236183,39.42068965517241,7.694401651236183,6.685900000000001e-06
16,20,4,8,82.32323232323232,0.005334524231578083,25,62707.0,47972,500,0.7437634692010728,38.3776,7.437634692010729,6.4499e-06
20,14,4,8,81.81818181818183,0.005698210417052515,26,55441.0,43112,520,0.7532717138713679,33.16307692307692,7.5327171387136795,5.723299999999999e-06
20,16,4,8,83.33333333333334,0.005986671813178254,22,43980.0,39768,440,0.8688281045180459,36.15272727272727,8.68828104518046,4.5772e-06
20,18,4,8,81.56565656565657,0.005242837860333633,25,60901.0,47972,500,0.7651890960713317,38.3776,7.651890960713317,6.2693e-06
20,20,4,8,82.32323232323232,0.005209421136640473,23,58388.0,47324,460,0.7863742107012296,41.15130434782609,7.863742107012296,6.018e-06
24,14,4,8,81.56565656565657,0.00595089986929904,21,43964.0,38100,504,0.8326776816155258,30.23809523809524,8.326776816155258,4.575600000000001e-06
24,16,4,8,81.56565656565657,0.0054314985452389416,23,52742.0,44380,552,0.8138042322221,32.15942028985508,8.138042322221,5.453399999999999e-06
24,18,4,8,82.32323232323232,0.005499620823979521,21,49653.0,43476,504,0.8450967052191661,34.5047619047619,8.450967052191661,5.1445e-06
24,20,4,8,81.56565656565657,0.005044147490646704,22,58088.0,48216,528,0.8052104208416834,36.52727272727273,8.052104208416834,5.988e-06
28,14,4,8,81.56565656565657,0.005305630465609864,24,58176.0,46176,672,0.7700106723585912,27.485714285714284,7.700106723585912,5.9968e-06
28,16,4,8,81.56565656565657,0.0058528332762663605,17,40886.0,35780,476,0.8383710576878016,30.067226890756302,8.383710576878016,4.2678e-06
28,18,4,8,82.07070707070707,0.005698750345737137,17,42543.0,37956,476,0.8561181910454494,31.895798319327728,8.561181910454494,4.4335e-06
28,20,4,8,81.81818181818183,0.005725545222556728,16,39676.0,37952,448,0.9152117295263817,33.885714285714286,9.152117295263817,4.1468e-06
32,14,4,8,81.56565656565657,0.005962236595803581,19,43819.0,39628,608,0.868825502619982,26.071052631578947,8.68825502619982,4.561099999999999e-06
32,16,4,8,82.57575757575758,0.005697832455721237,18,44621.0,40008,576,0.8619998707258743,27.78333333333333,8.619998707258743,4.641299999999999e-06
32,18,4,8,82.32323232323232,0.00551784123619738,17,46262.0,40132,544,0.8351437965622008,29.508823529411764,8.351437965622008,4.805400000000001e-06
32,20,4,8,81.81818181818183,0.005507104893345901,16,43139.0,40000,512,0.8902539449377935,31.25,8.902539449377935,4.4931e-06
8,14,8,8,82.07070707070707,0.005978553133273702,32,55814.0,48256,448,0.8376905183487832,43.08571428571428,8.376905183487832,5.7605999999999995e-06
8,16,8,8,81.81818181818183,0.005321158817940156,34,75525.0,55432,544,0.7169445270768395,40.758823529411764,7.169445270768396,7.7317e-06
8,18,8,8,81.81818181818183,0.005689788303784743,28,60712.0,49776,504,0.7963650326379111,39.5047619047619,7.963650326379112,6.2503999999999995e-06
8,20,8,8,81.81818181818183,0.005996853717435263,23,50824.0,44380,460,0.8434696670214383,38.59130434782609,8.434696670214382,5.261600000000001e-06
10,14,8,8,81.81818181818183,0.005491231952600669,32,64671.0,52352,448,0.7876863818966944,46.74285714285715,7.876863818966944,6.6463e-06
10,16,8,8,81.56565656565657,0.0050341177284583885,35,75053.0,61452,560,0.7996876829982432,43.89428571428571,7.996876829982432,7.6845e-06
10,18,8,8,81.81818181818183,0.005823447914960682,23,49923.0,44380,414,0.8581649424731702,42.87922705314009,8.581649424731703,5.1715e-06
10,20,8,8,81.56565656565657,0.005771396408710704,20,49535.0,41552,400,0.8095544255460089,41.552,8.095544255460089,5.1327e-06
12,14,8,8,81.56565656565657,0.005025692171909639,32,74168.0,56448,448,0.7431279620853081,50.4,7.431279620853081,7.596e-06
12,16,8,8,82.32323232323232,0.005247489032276165,26,63486.0,49768,416,0.7624008088483103,47.853846153846156,7.624008088483103,6.5277999999999996e-06
12,18,8,8,82.07070707070707,0.005338018329354588,23,57303.0,47324,414,0.8008122514595143,45.72367149758454,8.008122514595144,5.9095e-06
12,20,8,8,82.32323232323232,0.004631511679613691,27,76578.0,58476,540,0.7461528646165625,43.315555555555555,7.461528646165625,7.837e-06
14,14,8,8,81.56565656565657,0.005632371156434906,23,49923.0,44380,322,0.8581649424731702,55.1304347826087,8.581649424731703,5.1715e-06
14,16,8,8,81.56565656565657,0.005390764191675367,22,54392.0,45400,352,0.8080592339456073,51.590909090909086,8.080592339456073,5.6183999999999994e-06
14,18,8,8,83.08080808080808,0.00551060110733213,19,48667.0,42060,342,0.8335480290929269,49.19298245614035,8.335480290929269,5.0459e-06
14,20,8,8,81.81818181818183,0.005803459200455089,16,40697.0,37952,320,0.8932194214973287,47.44,8.932194214973286,4.248900000000001e-06
16,14,8,8,81.56565656565657,0.005962236595803581,19,43729.0,39628,304,0.8705432657454801,52.142105263157895,8.705432657454802,4.552099999999999e-06
16,16,8,8,82.57575757575758,0.005697832455721237,18,44535.0,40008,288,0.8636000604399162,55.56666666666666,8.636000604399163,4.6327e-06
16,18,8,8,82.32323232323232,0.00551784123619738,17,46178.0,40132,306,0.8366062122159683,52.46013071895425,8.366062122159683,4.797e-06
16,20,8,8,81.81818181818183,0.005507104893345901,16,43065.0,40000,320,0.8917225851037742,50.0,8.917225851037742,4.4857e-06
4,14,16,8,82.07070707070707,0.0045930059799453495,61,119212.0,89204,854,0.7371987702885855,41.78173302107728,7.371987702885855,1.21004e-05
4,16,16,8,81.81818181818183,0.004857411243775609,47,102656.0,75452,752,0.7223881740196079,40.134042553191485,7.223881740196079,1.0444799999999999e-05
4,18,16,8,81.56565656565657,0.0058359905420491765,28,62312.0,49776,504,0.7764882066641707,39.5047619047619,7.764882066641707,6.4104e-06
4,20,16,8,81.56565656565657,0.004032286852916684,51,135816.0,94668,1020,0.6879541887099587,37.12470588235294,6.879541887099587,1.3760799999999999e-05
5,14,16,8,81.56565656565657,0.004781801533327415,46,99552.0,73912,644,0.7293179665298389,45.908074534161486,7.293179665298389,1.01344e-05
5,16,16,8,81.81818181818183,0.0049563756175094505,36,85848.0,63120,576,0.720219078046554,43.83333333333333,7.202190780465541,8.764e-06
5,18,16,8,82.32323232323232,0.004656105947131738,37,92392.0,69524,666,0.7381720886774824,41.75615615615615,7.381720886774824,9.4184e-06
5,20,16,8,82.07070707070707,0.004584204177468565,34,94052.0,68488,680,0.7145778556821502,40.287058823529414,7.145778556821502,9.5844e-06
6,14,16,8,81.81818181818183,0.0052324277415217585,32,73244.0,56448,448,0.75227890612506,50.4,7.5227890612506,7.5036000000000005e-06
6,16,16,8,82.07070707070707,0.004983245900648022,31,75196.0,58748,496,0.7630799605133267,47.37741935483871,7.630799605133268,7.6988e-06
6,18,16,8,82.07070707070707,0.005870876274870934,20,47556.0,41552,360,0.8420199400178325,46.168888888888894,8.420199400178326,4.934799999999999e-06
6,20,16,8,81.56565656565657,0.00501584003922273,25,68248.0,54372,500,0.7762992575671045,43.4976,7.762992575671045,7.004e-06
7,14,16,8,81.81818181818183,0.003913405268321774,44,119504.0,82096,616,0.6768236380424746,53.30909090909091,6.768236380424746,1.21296e-05
7,16,16,8,82.07070707070707,0.005942093820709939,18,43668.0,37704,288,0.829388473383194,52.36666666666667,8.29388473383194,4.546e-06
7,18,16,8,81.56565656565657,0.00592588266120277,17,42420.0,37956,306,0.8584999547634127,49.615686274509805,8.584999547634126,4.4212e-06
7,20,16,8,81.56565656565657,0.005300341701448475,20,53828.0,46672,400,0.8391226177633945,46.672,8.391226177633945,5.562e-06
8,14,16,8,81.56565656565657,0.005962236595803581,19,43684.0,39628,266,0.871404696983024,59.59097744360901,8.71404696983024,4.5475999999999995e-06
8,16,16,8,82.57575757575758,0.005697832455721237,18,44492.0,40008,288,0.8644023852735286,55.56666666666666,8.644023852735286,4.6284000000000004e-06
8,18,16,8,82.32323232323232,0.00551784123619738,17,46136.0,40132,306,0.8373393423468536,52.46013071895425,8.373393423468535,4.792800000000001e-06
8,20,16,8,81.81818181818183,0.005507104893345901,16,43028.0,40000,320,0.892458723784025,50.0,8.92458723784025,4.482e-06
2,14,32,8,81.81818181818183,0.004630153167539516,63,123405.5,92028,882,0.7350626010902773,41.736054421768706,7.350626010902773,1.2519750000000002e-05
2,16,32,8,81.81818181818183,0.005945771138785641,32,63003.5,52352,512,0.807957342716701,40.9,8.079573427167011,6.47955e-06
2,18,32,8,81.81818181818183,0.00512118052524647,40,90038.5,69792,720,0.7600089294951023,38.77333333333333,7.600089294951023,9.183050000000002e-06
2,20,32,8,81.56565656565657,0.005855990319103295,27,60698.5,51564,540,0.8251494227122522,38.19555555555556,8.251494227122523,6.24905e-06
3,14,32,8,81.81818181818183,0.005936393086711089,25,55543.0,44772,350,0.7808842766198657,51.168,7.808842766198657,5.7335e-06
3,16,32,8,82.07070707070707,0.00595014867897917,22,49824.5,42584,352,0.8250075072893358,48.3909090909091,8.250075072893358,5.16165e-06
3,18,32,8,82.07070707070707,0.005682788307386577,22,55271.5,45400,396,0.7956048962997363,45.85858585858586,7.956048962997363,5.706349999999999e-06
3,20,32,8,81.56565656565657,0.005610086132624431,21,53766.0,46164,420,0.8309154397206523,43.965714285714284,8.309154397206523,5.5558e-06
4,14,32,8,81.56565656565657,0.005962236595803581,19,43661.5,39628,266,0.8718360522292012,59.59097744360901,8.718360522292013,4.5453500000000005e-06
