NZr,NZc,Tr,Tc,Accuracy (%),MSE,Nsteps,Compressed Memory Footprint (byte),Nops,Ncycles,CTC (Ops/byte),CP (GOps/s),AttPerf (GOps/s),Execution Time (s),DSP Usage,Simulated Ncycles,Simulated Execution Time (s)
32,48,2,2,82.57575757575758,0.0048661103871568,24,63744.0,30816,1152,0.47021484375,4.0125,4.0125,7.68e-06,80,1211,8.073333333333333e-06
32,56,2,2,81.56565656565657,0.0058615559380409,14,40768.0,19768,784,0.4644736842105263,3.7821428571428575,3.7821428571428575,5.226666666666666e-06,80,833,5.553333333333333e-06
32,64,2,2,81.81818181818183,0.0042876895366591,25,79200.0,38500,1600,0.4753555906756223,3.609375,3.609375,1.0666666666666666e-05,80,1660,1.1066666666666667e-05
32,72,2,2,81.56565656565657,0.0058843779394488,12,41088.0,20016,864,0.4667910447761194,3.475,3.475,5.76e-06,80,911,6.073333333333333e-06
40,48,2,2,81.81818181818183,0.0057304092422337,14,40768.0,19768,672,0.4644736842105263,4.4125,4.4125,4.48e-06,80,729,4.86e-06
40,56,2,2,81.81818181818183,0.0051437656584526,16,50688.0,24640,896,0.4695121951219512,4.125,4.125,5.973333333333333e-06,80,955,6.366666666666667e-06
40,64,2,2,81.81818181818183,0.0052460548100814,14,47936.0,23352,896,0.46959459459459457,3.909375,3.909375,5.973333333333334e-06,80,953,6.353333333333333e-06
40,72,2,2,81.81818181818183,0.0054703938627522,12,44160.0,21552,864,0.46901114206128136,3.7416666666666667,3.7416666666666667,5.76e-06,80,919,6.126666666666667e-06
48,48,2,2,81.56565656565657,0.0058333273897243,12,38016.0,18480,576,0.4642282958199357,4.8125,4.642282958199357,3.9808e-06,80,639,4.26e-06
48,56,2,2,82.07070707070707,0.0059796061750476,10,34240.0,16680,560,0.46292184724689167,4.467857142857143,4.467857142857143,3.733333333333333e-06,80,621,4.14e-06
48,64,2,2,82.82828282828282,0.0057816592010754,10,36800.0,17960,640,0.4653814262023217,4.209375,4.209375,4.266666666666667e-06,80,701,4.673333333333333e-06
48,72,2,2,81.56565656565657,0.0058924959595984,9,35424.0,17316,648,0.4652837489251935,4.008333333333333,4.008333333333333,4.320000000000001e-06,80,708,4.72e-06
56,48,2,2,82.57575757575758,0.005875455123383,11,37664.0,18348,616,0.4650243309002433,4.467857142857143,4.467857142857143,4.106666666666666e-06,80,678,4.52e-06
56,56,2,2,82.82828282828282,0.0055966295358066,11,40480.0,19756,616,0.46735427706283117,4.810714285714285,4.673542770628312,4.2272e-06,80,686,4.573333333333333e-06
56,64,2,2,82.82828282828282,0.0056248353581138,10,39360.0,19240,640,0.46753499222395023,4.509375,4.509375,4.266666666666666e-06,80,709,4.726666666666667e-06
56,72,2,2,82.07070707070707,0.0054684319719288,10,41920.0,20520,720,0.4694363103953148,4.275,4.275,4.8e-06,80,789,5.26e-06
