NZr,NZc,Tr,Tc,Accuracy (%),MSE,Nsteps,Compressed Memory Footprint (byte),Nops,Ncycles,CTC (Ops/byte),CP (GOps/s),AttPerf (GOps/s),Execution Time (s),DSP Usage,Simulated Ncycles,Simulated Execution Time (s)
32,48,2,2,81.81818181818183,0.0048964942828703,55,51040.0,70620,2640,1.3366898849182314,4.0125,4.0125,1.76e-05,80,2730,1.82e-05
32,56,2,2,82.32323232323232,0.0049756157152219,47,47812.0,66364,2632,1.3378759777437303,3.7821428571428575,3.7821428571428575,1.7546666666666666e-05,80,2714,1.8093333333333332e-05
32,64,2,2,82.07070707070707,0.0048628210963577,45,50364.0,69300,2880,1.328706189124933,3.609375,3.609375,1.92e-05,80,2960,1.9733333333333333e-05
32,72,2,2,81.56565656565657,0.0048257154912842,44,51824.0,73392,3168,1.368845120859445,3.475,3.475,2.112e-05,80,3247,2.1646666666666667e-05
40,48,2,2,81.56565656565657,0.0059818957161459,30,28716.0,42360,1440,1.3884882653730168,4.4125,4.4125,9.6e-06,80,1513,1.0086666666666666e-05
40,56,2,2,81.56565656565657,0.0057895525487256,30,31212.0,46200,1680,1.3998303235971397,4.125,4.125,1.12e-05,80,1753,1.1686666666666666e-05
40,64,2,2,81.81818181818183,0.0053535728368222,33,37164.0,55044,2112,1.4129787452510525,3.909375,3.909375,1.408e-05,80,2188,1.4586666666666667e-05
40,72,2,2,82.82828282828282,0.0041005455148193,55,65916.0,98780,3960,1.4589117977196195,3.7416666666666667,3.7416666666666667,2.64e-05,80,4058,2.7053333333333334e-05
48,48,2,2,82.07070707070707,0.0059658069249744,28,28028.0,43120,1344,1.4460093896713615,4.8125,4.8125,8.96e-06,80,1423,9.486666666666667e-06
48,56,2,2,82.07070707070707,0.0057357160183345,29,30284.0,48372,1624,1.5080433969322857,4.467857142857143,4.467857142857143,1.0826666666666666e-05,80,1704,1.136e-05
48,64,2,2,81.81818181818183,0.0052379995744404,31,37136.0,55676,1984,1.430230168516235,4.209375,4.209375,1.3226666666666668e-05,80,2066,1.3773333333333334e-05
48,72,2,2,81.56565656565657,0.0050314583602169,33,40708.0,63492,2376,1.493929411764706,4.008333333333333,4.008333333333333,1.584e-05,80,2460,1.64e-05
56,48,2,2,81.81818181818183,0.0053138910855913,34,38884.0,56712,1904,1.3942373881404269,4.467857142857143,4.467857142857143,1.2693333333333333e-05,80,1989,1.326e-05
56,56,2,2,82.32323232323232,0.0058119085653536,25,29712.0,44900,1400,1.425215845606907,4.810714285714285,4.810714285714285,9.333333333333334e-06,80,1484,9.893333333333334e-06
56,64,2,2,81.81818181818183,0.0055023376019492,26,32756.0,50024,1664,1.4479564663656361,4.509375,4.509375,1.1093333333333333e-05,80,1749,1.166e-05
56,72,2,2,82.82828282828282,0.0045762142459657,37,49660.0,75924,2664,1.4756277695716395,4.275,4.275,1.776e-05,80,2760,1.84e-05
64,48,2,2,82.07070707070707,0.005495381030131,30,37120.0,53880,1920,1.3846628289473684,4.209375,4.209375,1.2800000000000001e-05,80,2001,1.334e-05
64,56,2,2,81.56565656565657,0.0044156752810885,45,58540.0,86580,2880,1.4350593383279189,4.509375,4.509375,1.92e-05,80,2984,1.9893333333333335e-05
64,64,2,2,81.56565656565657,0.0052003582931513,30,39108.0,61560,1920,1.5051344743276283,4.809375,4.809375,1.28e-05,80,2017,1.3446666666666666e-05
64,72,2,2,81.56565656565657,0.0049982643863852,30,42584.0,65400,2160,1.4737696051919957,4.541666666666667,4.541666666666667,1.4399999999999998e-05,80,2257,1.5046666666666666e-05
16,48,4,2,81.56565656565657,0.0056078684556099,46,43376.0,59064,2208,1.3076514346439958,4.0125,4.0125,1.472e-05,120,2273,1.5153333333333333e-05
16,56,4,2,81.81818181818183,0.0052594086019065,48,49728.0,67776,2688,1.315527950310559,3.7821428571428575,3.7821428571428575,1.792e-05,120,2755,1.8366666666666668e-05
16,64,4,2,82.07070707070707,0.005299933304585,45,48544.0,69300,2880,1.3767482517482517,3.609375,3.609375,1.92e-05,120,2944,1.9626666666666666e-05
16,72,4,2,82.82828282828282,0.0052192544807608,45,49904.0,75060,3240,1.451949860724234,3.475,3.475,2.16e-05,120,3304,2.2026666666666667e-05
20,48,4,2,82.32323232323232,0.0049639428200562,52,52672.0,73424,2496,1.348119858989424,4.4125,4.4125,1.664e-05,120,2571,1.714e-05
20,56,4,2,81.56565656565657,0.0049139630289472,49,52528.0,75460,2744,1.3891752577319587,4.125,4.125,1.8293333333333333e-05,120,2816,1.8773333333333332e-05
20,64,4,2,82.07070707070707,0.0049929847526813,42,49856.0,70056,2688,1.3564126394052045,3.909375,3.909375,1.792e-05,120,2753,1.8353333333333333e-05
20,72,4,2,81.56565656565657,0.0046724747537565,51,58272.0,91596,3672,1.5249733617474694,3.7416666666666667,3.7416666666666667,2.448e-05,120,3746,2.4973333333333334e-05
24,48,4,2,81.56565656565657,0.0052334080282767,43,43808.0,66220,2064,1.4521929824561404,4.8125,4.8125,1.376e-05,120,2134,1.4226666666666667e-05
24,56,4,2,82.07070707070707,0.0052428636956883,35,42112.0,58380,1960,1.3297193877551021,4.467857142857143,4.467857142857143,1.3066666666666665e-05,120,2022,1.348e-05
24,64,4,2,81.81818181818183,0.0052078006175733,35,41600.0,62860,2240,1.4486541297935103,4.209375,4.209375,1.4933333333333333e-05,120,2302,1.5346666666666667e-05
24,72,4,2,81.56565656565657,0.0052791476422473,33,39568.0,63492,2376,1.5351063829787235,4.008333333333333,4.008333333333333,1.584e-05,120,2436,1.624e-05
28,48,4,2,81.56565656565657,0.0047606899006179,47,52480.0,78396,2256,1.4445017688679245,5.2125,5.2125,1.5039999999999998e-05,120,2334,1.556e-05
28,56,4,2,81.81818181818183,0.0045898360695678,44,54512.0,79024,2464,1.4035237283319124,4.810714285714285,4.810714285714285,1.6426666666666666e-05,120,2539,1.6926666666666665e-05
28,64,4,2,82.32323232323232,0.0050863262456029,33,41520.0,63492,2112,1.4659216845216105,4.509375,4.509375,1.4079999999999999e-05,120,2176,1.4506666666666666e-05
28,72,4,2,81.56565656565657,0.0048250505460914,35,46320.0,71820,2520,1.4927668772863318,4.275,4.275,1.68e-05,120,2586,1.724e-05
32,48,4,2,82.07070707070707,0.005495381030131,30,36960.0,53880,1440,1.3903798513625103,5.6125,5.6125,9.6e-06,120,1505,1.0033333333333333e-05
32,56,4,2,81.56565656565657,0.0044156752810885,45,58304.0,86580,2520,1.4406948881789137,5.1535714285714285,5.1535714285714285,1.68e-05,120,2600,1.7333333333333332e-05
32,64,4,2,81.56565656565657,0.0052003582931513,30,38960.0,61560,1920,1.510600706713781,4.809375,4.809375,1.28e-05,120,1985,1.3233333333333333e-05
32,72,4,2,81.56565656565657,0.0049982643863852,30,42432.0,65400,2160,1.47883502170767,4.541666666666667,4.541666666666667,1.4399999999999998e-05,120,2225,1.4833333333333334e-05
8,48,8,2,81.56565656565657,0.0054539041987969,53,51860.0,68052,2544,1.2683963319167972,4.0125,4.0125,1.696e-05,200,2608,1.7386666666666667e-05
8,56,8,2,81.81818181818183,0.0051905699900279,55,56884.0,77660,3080,1.3235394369077647,3.7821428571428575,3.7821428571428575,2.0533333333333332e-05,200,3146,2.0973333333333335e-05
8,64,8,2,81.56565656565657,0.0052312359614259,46,56258.0,70840,2944,1.2203273040482343,3.609375,3.609375,1.9626666666666666e-05,200,3001,2.0006666666666666e-05
8,72,8,2,81.56565656565657,0.0057243880660478,37,44584.0,61716,2664,1.3307745385544247,3.475,3.475,1.776e-05,200,2712,1.808e-05
10,48,8,2,81.56565656565657,0.0049342833837875,62,59868.0,87544,2976,1.4197859228024652,4.4125,4.4125,1.984e-05,200,3051,2.034e-05
10,64,8,2,83.08080808080808,0.0054361599431552,37,46276.0,61716,2368,1.2839310976117166,3.909375,3.909375,1.578666666666667e-05,200,2418,1.612e-05
10,72,8,2,81.56565656565657,0.0051720184653713,41,51616.0,73636,2952,1.3787447573397245,3.7416666666666667,3.7416666666666667,1.968e-05,200,3006,2.004e-05
12,48,8,2,81.81818181818183,0.0054492465887549,41,43666.0,63140,1968,1.3889744379427162,4.8125,4.8125,1.312e-05,200,2024,1.3493333333333333e-05
