NZr,NZc,Tr,Tc,Accuracy (%),MSE,Nsteps,Compressed Memory Footprint (byte),Nops,Ncycles,CTC (Ops/byte),CP (GOps/s),AttPerf (GOps/s),Execution Time (s),DSP Usage,Simulated Execution Time (s),Simulated Ncycles
48,12,2,16,81.56565656565657,0.0049172987046292,40,47100.0,92320,1920,1.8882434754152009,7.2125,7.2125,1.28e-05,136,1.3186666666666667e-05,1978
48,4,2,32,81.56565656565657,0.0049662497449559,65,59848.75,116740,3120,1.8938770212886766,5.6125,5.6125,2.08e-05,216,2.1306666666666667e-05,3196
48,5,2,32,81.56565656565657,0.0054026936224036,43,45096.25,88236,2064,1.8818360676715382,6.4125,6.4125,1.376e-05,216,1.4126666666666666e-05,2119
56,12,2,16,82.32323232323232,0.0044080753222489,48,59592.0,116928,2688,1.9048612016160562,6.525,6.525,1.792e-05,136,1.836e-05,2754
56,5,2,32,81.56565656565657,0.0057012180909343,34,37833.5,74120,1904,1.8705126749189285,5.839285714285714,5.839285714285714,1.2693333333333334e-05,216,1.3e-05,1950
64,12,2,16,82.07070707070707,0.0043610904684917,47,61358.5,120508,3008,1.9082667595664327,6.009375,6.009375,2.0053333333333333e-05,136,2.0486666666666668e-05,3073
64,3,2,32,81.56565656565657,0.0056767309828957,58,53403.5,104168,3712,1.8872553016097326,4.209375,4.209375,2.4746666666666668e-05,216,2.52e-05,3780
64,4,2,32,81.56565656565657,0.0056783286665757,42,44047.5,86184,2688,1.8801252195159197,4.809375,4.809375,1.792e-05,216,1.8273333333333333e-05,2741
64,5,2,32,81.56565656565657,0.0052629592648848,41,48246.75,94628,2624,1.8910944018385751,5.409375,5.409375,1.749333333333333e-05,216,1.7846666666666666e-05,2677
20,12,4,16,81.81818181818183,0.0054473296471423,42,46599.0,91560,840,1.8920873716186895,16.35,16.35,5.599999999999999e-06,176,6e-06,900
20,5,4,32,81.81818181818183,0.0052265915848161,59,57864.25,113516,1180,1.902834992142483,14.43,14.43,7.866666666666667e-06,256,8.34e-06,1251
24,12,4,16,81.56565656565657,0.0044168732268158,56,65716.0,129248,1344,1.9145582745748653,14.425,14.425,8.96e-06,176,9.453333333333333e-06,1418
